Period_T_sec,EW_cm_s2,NS_cm_s2,V_cm_s2,EW_pct_g,NS_pct_g,V_pct_g,Hito_Region_Caracteristica
0.010,278,388,91,28.35%,39.57%,9.28%,Limite inferior / Aceleracion en T -> 0 (10^-2)
0.012,276,389,91,28.14%,39.67%,9.28%,Plateau inicial constante
0.014,277,390,92,28.25%,39.77%,9.38%,
0.016,278,392,93,28.35%,39.97%,9.48%,
0.018,277,388,96,28.25%,39.57%,9.79%,
0.020,275,389,94,28.04%,39.67%,9.59%,
0.022,280,391,94,28.55%,39.87%,9.59%,
0.025,281,390,94,28.65%,39.77%,9.59%,
0.028,281,389,93,28.65%,39.67%,9.48%,
0.030,282,388,97,28.76%,39.57%,9.89%,
0.035,288,395,102,29.37%,40.28%,10.40%,Lieve incremento inicial
0.040,292,398,114,29.78%,40.58%,11.62%,
0.045,295,403,113,30.08%,41.09%,11.52%,
0.050,300,402,120,30.59%,40.99%,12.24%,
0.055,315,400,112,32.12%,40.79%,11.42%,
0.060,318,412,108,32.43%,42.01%,11.01%,
0.065,312,432,115,31.81%,44.05%,11.73%,
0.070,340,458,112,34.67%,46.70%,11.42%,
0.075,338,452,128,34.47%,46.09%,13.05%,
0.080,335,472,155,34.16%,48.13%,15.81%,Ascenso de componente V
0.085,365,458,210,37.22%,46.70%,21.41%,
0.090,378,450,235,38.55%,45.89%,23.96%,Primer pico V local
0.095,395,468,218,40.28%,47.72%,22.23%,
0.100,402,452,248,41.00%,46.09%,25.29%,(10^-1) Pico V local
0.110,415,445,200,42.32%,45.38%,20.39%,
0.120,490,508,190,49.97%,51.80%,19.37%,
0.130,518,555,248,52.82%,56.59%,25.29%,Pico EW intermedio
0.140,450,512,230,45.89%,52.21%,23.45%,
0.150,492,522,192,50.17%,53.23%,19.58%,
0.160,460,492,215,46.91%,50.17%,21.92%,
0.170,480,598,228,48.95%,60.98%,23.25%,
0.180,458,682,265,46.70%,69.54%,27.02%,
0.190,502,750,278,51.19%,76.48%,28.35%,
0.200,535,778,308,54.55%,79.33%,31.41%,
0.220,592,710,280,60.37%,72.40%,28.55%,
0.240,590,650,250,60.16%,66.28%,25.49%,
0.250,620,722,310,63.22%,73.62%,31.61%,
0.260,622,760,340,63.43%,77.50%,34.67%,
0.270,605,742,338,61.69%,75.66%,34.47%,
0.280,572,758,390,58.33%,77.29%,39.77%,
0.290,605,718,415,61.69%,73.22%,42.32%,PICO MAXIMO GLOBAL V (415 cm/s2)
0.310,580,765,390,59.14%,78.01%,39.77%,
0.330,540,825,340,55.06%,84.13%,34.67%,
0.350,612,935,260,62.41%,95.34%,26.51%,Ascenso vertical en EW y NS
0.380,765,875,225,78.01%,89.23%,22.94%,
0.400,842,1150,198,85.86%,117.27%,20.19%,
0.420,892,1335,175,90.96%,136.13%,17.84%,
0.440,805,1280,175,82.09%,130.52%,17.84%,
0.460,850,1350,172,86.68%,137.66%,17.54%,
0.500,1100,1620,178,112.17%,165.19%,18.15%,
0.520,1410,1800,165,143.78%,183.55%,16.82%,
0.540,1480,1995,138,150.92%,203.43%,14.07%,Primer subpico maximo NS
0.560,1625,1900,118,165.70%,193.75%,12.03%,PICO MAXIMO GLOBAL EW (1625 cm/s2)
0.580,1360,2000,132,138.68%,203.94%,13.46%,PICO MAXIMO GLOBAL NS (2000 cm/s2)
0.600,1480,1930,122,150.92%,196.80%,12.44%,
0.650,1120,1300,108,114.21%,132.56%,11.01%,Caida pronunciada
0.700,680,750,135,69.34%,76.48%,13.77%,
0.750,560,522,125,57.10%,53.23%,12.75%,
0.800,450,480,85,45.89%,48.95%,8.67%,
0.850,312,345,62,31.81%,35.18%,6.32%,
0.900,225,280,63,22.94%,28.55%,6.42%,
0.950,178,235,60,18.15%,23.96%,6.12%,
1.000,142,225,42,14.48%,22.94%,4.28%,(10^0)
1.100,115,200,38,11.73%,20.39%,3.87%,
1.200,108,185,40,11.01%,18.86%,4.08%,
1.300,110,120,32,11.22%,12.24%,3.26%,
1.400,102,102,30,10.40%,10.40%,3.06%,
1.500,108,90,28,11.01%,9.18%,2.86%,
1.600,80,82,18,8.16%,8.36%,1.84%,
1.800,55,52,20,5.61%,5.30%,2.04%,
2.000,55,58,21,5.61%,5.91%,2.14%,
2.200,48,50,15,4.89%,5.10%,1.53%,
2.500,32,28,8,3.26%,2.86%,0.82%,
2.800,25,22,6,2.55%,2.24%,0.61%,
3.000,26,20,5,2.65%,2.04%,0.51%,
3.500,15,16,4,1.53%,1.63%,0.41%,
4.000,12,12,3,1.22%,1.22%,0.31%,
4.500,8,10,2,0.82%,1.02%,0.20%,
5.000,6,8,2,0.61%,0.82%,0.20%,Limite superior de registro
