Nombre estación,Red,Código,Latitud(Â°),Longitud(Â°),Localizador,Elevación (msnm),Dist.Epi (km),Dist.Hip (km),PGA EW (cm/s^2),PGA NS (cm/s^2),PGA Z (cm/s^2)
"Anserma, Caldas, Colombia",CM,CANSE,5.26,-75.81,10,1932,61,120,223.211249,200.958038,37.150375
"Pereira, Risaralda, Colombia",CM,CBOCA,4.78,-75.65,10,1529,75,128,17.251509,17.908504,9.050726
"Riosucio, Caldas, Colombia",CM,RIO2C,5.42,-75.71,10,1958,80,131,21.781621,38.196462,20.338773
"Filandia, Quindio, Colombia",CM,FLND,4.69,-75.62,10,2035,82,132,422.651827,268.305636,105.494656
"Armenia, Quindio, Colombia",CM,ARMEC,4.56,-75.66,10,1554,85,134,198.706,221.842718,80.787229
"Circasia, Quindio, Colombia",CM,CIRS,4.64,-75.61,10,1980,85,134,274.918132,387.878959,90.065842
"Trujillo, Valle del Cauca, Colombia",CM,CTRUJ,4.22,-76.32,10,1388,86,134,93.82152,129.795181,81.687681
"Manizales, Caldas, Colombia",CM,MAN1C,5.07,-75.52,10,2199,86,134,283.018178,203.826588,70.532268
"Salento, Quindio, Colombia",CM,SLNT,4.64,-75.57,10,1990,89,137,156.898439,142.872074,81.001457
"Calarca, Quindio, Colombia",CM,CCALA,4.51,-75.63,10,1795,91,138,70.103647,87.29783,43.428818
"Barrio Niza, Manizales, Caldas",CM,NIZA,5.06,-75.47,10,2240,91,138,30.436519,32.094112,15.91292
"Villamaria, Caldas, Colombia",CM,RECRC,4.96,-75.35,10,4136,104,147,146.868523,139.061238,47.092796
"Villamaria, Caldas, Colombia",CM,GUY2C,5.22,-75.36,10,3605,106,148,18.902624,23.112626,14.214193
"Ibague, Tolima, Colombia",CM,TOL,4.59,-75.32,10,2577,117,156,124.408585,94.987043,60.711331
"Ibague, Tolima, Colombia",CM,IBA1C,4.45,-75.24,10,1289,132,168,37.601157,31.051616,13.929946
"Universidad de Ibague, Tolima, Colombia",CM,CUIBA,4.45,-75.2,10,1130,135,170,39.435368,28.324752,21.034229
"Colegio Champagnat, Ibague, Tolima, Colombia",CM,CIBA3,4.43,-75.19,10,1082,137,172,26.786519,30.089509,21.86213
"Bahia Malaga, Valle del Cauca, Colombia",CM,MAL,4.01,-77.33,10,112,159,190,187.938805,212.135796,84.729315
"Ortega, Tolima, Colombia",CM,ORTC,3.91,-75.25,10,446,167,197,50.517534,38.984963,20.971029
"Norcasia, Caldas, Colombia",CM,NOR,5.56,-74.87,10,536,170,199,13.600729,19.405382,9.040689
"Bahia Solano, Choco, Colombia",CM,SOL,6.23,-77.41,10,38,185,212,32.905918,33.29366,16.987077
"Guaduas, Cundinamarca, Colombia",CM,CGUAD,5.06,-74.59,10,1080,189,215,1.542196,2.139544,1.021916
"Puerto Tejada, Cauca, Colombia",CM,CPTEJ,3.23,-76.41,10,995,197,222,93.685166,86.059672,45.242164
"Anapoima, Cundinamarca, Colombia",CM,CANAP,4.55,-74.51,10,602,203,228,2.035754,1.463736,1.059374
"Prado, Tolima, Colombia",CM,CPRAD,3.75,-74.89,10,309.3,208,232,13.940501,11.132192,11.437037
"Planadas, Tolima, Colombia",CM,PLNC,3.19,-75.65,10,1229,212,236,90.586119,117.022877,47.06536
"Dabeiba, Antioquia, Colombia",CM,DBB,7.02,-76.21,10,756,226,248,8.876548,10.192968,7.037829
"Murindo, Antioquia, Colombia",CM,MUAC,6.99,-76.7,10,67,227,249,57.728211,51.132592,25.492731
"Bogota, SGC",CM,BOG,4.64,-74.08,10,2584,248,269,12.272177,19.01463,6.992362
"Bogota, SGC",CM,BOG,4.64,-74.08,11,2584,248,269,2.942112,2.565545,2.752561
"Cerro Cruz Verde, Chipaque, Cundinamarca, Colombia",CM,CVER,4.52,-74.07,10,3604,252,272,8.126205,12.078922,5.147595
"Neiva, Huila, Colombia",CM,CNEIV,2.94,-75.27,10,514,255,275,8.389226,8.237865,5.636188
"Embalse Betania, Huila, Colombia",CM,CBETA,2.71,-75.47,10,559,270,290,2.229938,3.093701,1.820356
Embalse de Betania,CM,BET,2.72,-75.42,10,540,271,290,10.708502,23.069046,10.619728
"Quetame, Cundinamarca, Colombia",CM,CQUET,4.33,-73.86,10,1486,280,298,2.788586,3.634843,2.634735
"Popayan, Cauca, Colombia",CM,CPOP3,2.48,-76.56,10,1880,281,299,62.636359,83.108323,28.596944
"Popayan Invias, Cauca, Colombia",CM,CPOP2,2.46,-76.59,10,1772,284,302,11.003502,11.729187,5.81011
"Chingaza, Cundinamarca, Colombia",CM,CHI,4.63,-73.74,10,3140,286,304,4.903583,4.967964,2.70388
"Uribe, Meta, Colombia",CM,URMC,3.25,-74.38,10,725,288,306,26.277874,27.099118,10.430409
"La Plata, Huila, Colombia",CM,CPLAT,2.38,-75.91,10,1094,293,311,4.810707,3.615775,3.158388
