T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.0000,1.95647786e-01,0.00000000e+00,0.00000000e+00,2.28194924e-01,0.00000000e+00,0.00000000e+00,8.19603791e-02,0.00000000e+00,0.00000000e+00,2.11295602e-01,1.95647786e-01,2.28194924e-01,2.11295602e-01
0.0100,1.95548315e-01,4.85995754e-04,4.85995754e-04,2.28151771e-01,5.67025043e-04,5.67025043e-04,8.19537029e-02,2.03679339e-04,2.03679339e-04,2.11221908e-01,1.95579443e-01,2.28188088e-01,2.11255530e-01
0.0200,1.97201928e-01,1.96073401e-03,1.96073401e-03,2.29187499e-01,2.27875928e-03,2.27875928e-03,8.51037533e-02,8.46167300e-04,8.46167300e-04,2.12594019e-01,1.97264720e-01,2.29260475e-01,2.12661711e-01
0.0300,2.00838055e-01,4.49371161e-03,4.49371161e-03,2.30559749e-01,5.15872861e-03,5.15872861e-03,9.13373512e-02,2.04365510e-03,2.04365510e-03,2.15186365e-01,2.00933994e-01,2.30669886e-01,2.15289158e-01
0.0400,2.03574101e-01,8.09894310e-03,8.09894310e-03,2.34462047e-01,9.32778171e-03,9.32778171e-03,9.99653324e-02,3.97699675e-03,3.97699675e-03,2.18472883e-01,2.03703783e-01,2.34611405e-01,2.18612055e-01
0.0500,2.11727578e-01,1.31635324e-02,1.31635324e-02,2.40344800e-01,1.49427231e-02,1.49427231e-02,1.31090021e-01,8.15013216e-03,8.15013216e-03,2.25582851e-01,2.11896200e-01,2.40536213e-01,2.25762507e-01
0.0600,2.12573601e-01,1.90342610e-02,1.90342610e-02,2.47500254e-01,2.21616626e-02,2.21616626e-02,2.42376259e-01,2.17028500e-02,2.17028500e-02,2.29373102e-01,2.12776788e-01,2.47736825e-01,2.29592347e-01
0.0700,2.24533253e-01,2.73697058e-02,2.73697058e-02,2.46751994e-01,3.00780816e-02,3.00780816e-02,2.61883344e-01,3.19225326e-02,3.19225326e-02,2.35380602e-01,2.24783681e-01,2.47027203e-01,2.35643129e-01
0.0800,2.46738446e-01,3.92897607e-02,3.92897607e-02,2.70259928e-01,4.30352385e-02,4.30352385e-02,2.10554587e-01,3.35279705e-02,3.35279705e-02,2.58231514e-01,2.47053004e-01,2.70604472e-01,2.58560723e-01
0.0900,2.49130762e-01,5.02162378e-02,5.02162378e-02,2.75998458e-01,5.56318461e-02,5.56318461e-02,2.06211140e-01,4.15651105e-02,4.15651105e-02,2.62220720e-01,2.49488127e-01,2.76394363e-01,2.62596862e-01
0.1000,2.67343936e-01,6.65382479e-02,6.65382479e-02,3.00692865e-01,7.48383398e-02,7.48383398e-02,1.60947436e-01,4.00576148e-02,4.00576148e-02,2.83528507e-01,2.67770106e-01,3.01172195e-01,2.83980475e-01
0.1100,3.42470386e-01,1.03152237e-01,1.03152237e-01,4.63968918e-01,1.39747651e-01,1.39747651e-01,1.82524974e-01,5.49766057e-02,5.49766057e-02,3.98617128e-01,3.43071002e-01,4.64782615e-01,3.99316212e-01
0.1200,3.96303201e-01,1.42078897e-01,1.42078897e-01,5.89503063e-01,2.11343095e-01,2.11343095e-01,2.01986746e-01,7.24143889e-02,7.24143889e-02,4.83344547e-01,3.97061533e-01,5.90631086e-01,4.84269433e-01
0.1300,4.79990971e-01,2.01989380e-01,2.01989380e-01,4.71061539e-01,1.98231704e-01,1.98231704e-01,1.77138181e-01,7.45431340e-02,7.45431340e-02,4.75505295e-01,4.80986138e-01,4.72038193e-01,4.76491162e-01
0.1400,4.79308339e-01,2.33964027e-01,2.33964027e-01,5.11473432e-01,2.49664723e-01,2.49664723e-01,1.62613611e-01,7.93763265e-02,7.93763265e-02,4.95129762e-01,4.80378704e-01,5.12615626e-01,4.96235459e-01
0.1500,5.06994401e-01,2.84140404e-01,2.84140404e-01,5.23840696e-01,2.93581756e-01,2.93581756e-01,2.21574984e-01,1.24179686e-01,1.24179686e-01,5.15348717e-01,5.08207657e-01,5.25094266e-01,5.16581965e-01
0.1600,4.93975802e-01,3.15037494e-01,3.15037494e-01,5.20494008e-01,3.31949717e-01,3.31949717e-01,2.11956447e-01,1.35177123e-01,1.35177123e-01,5.07061579e-01,4.95236913e-01,5.21822819e-01,5.08356098e-01
0.1700,4.96296953e-01,3.57375978e-01,3.57375978e-01,4.74311878e-01,3.41544856e-01,3.41544856e-01,1.85189878e-01,1.33352448e-01,1.33352448e-01,4.85179905e-01,4.97643394e-01,4.75598674e-01,4.86496185e-01
0.1800,5.22089955e-01,4.21546576e-01,4.21546576e-01,5.73743920e-01,4.63253090e-01,4.63253090e-01,1.99957639e-01,1.61450067e-01,1.61450067e-01,5.47307900e-01,5.23589930e-01,5.75392298e-01,5.48880327e-01
0.1900,5.39245700e-01,4.85197366e-01,4.85197366e-01,6.71780428e-01,6.04448203e-01,6.04448203e-01,2.17386563e-01,1.95598013e-01,1.95598013e-01,6.01875990e-01,5.40881294e-01,6.73818016e-01,6.03701549e-01
0.2000,5.31772379e-01,5.30248739e-01,5.30248739e-01,6.57495286e-01,6.55611424e-01,6.55611424e-01,2.68453474e-01,2.67684299e-01,2.67684299e-01,5.91301811e-01,5.33470468e-01,6.59594841e-01,5.93189994e-01
0.2100,5.10145001e-01,5.60912927e-01,5.60912927e-01,6.49098404e-01,7.13694508e-01,7.13694508e-01,2.87578091e-01,3.16196902e-01,3.16196902e-01,5.75442705e-01,5.11855753e-01,6.51275131e-01,5.77372430e-01
0.2200,5.17969510e-01,6.25146982e-01,6.25146982e-01,5.78531732e-01,6.98240649e-01,6.98240649e-01,2.84608660e-01,3.43499456e-01,3.43499456e-01,5.47413735e-01,5.19789505e-01,5.80564526e-01,5.49337189e-01
0.2300,4.47314300e-01,5.90160862e-01,5.90160862e-01,5.49007849e-01,7.24329503e-01,7.24329503e-01,3.05329478e-01,4.02834221e-01,4.02834221e-01,4.95559342e-01,4.48957739e-01,5.51024910e-01,4.97380034e-01
0.2400,3.68296825e-01,5.29165825e-01,5.29165825e-01,4.51423420e-01,6.48601427e-01,6.48601427e-01,3.04085141e-01,4.36907009e-01,4.36907009e-01,4.07747241e-01,3.69709010e-01,4.53154342e-01,4.09310693e-01
0.2500,3.36455178e-01,5.24623759e-01,5.24623759e-01,4.28186944e-01,6.67658156e-01,6.67658156e-01,2.89988468e-01,4.52169708e-01,4.52169708e-01,3.79559896e-01,3.37799239e-01,4.29897451e-01,3.81076150e-01
0.2600,2.98516995e-01,5.03530613e-01,5.03530613e-01,4.23854654e-01,7.14946879e-01,7.14946879e-01,2.26612594e-01,3.82244161e-01,3.82244161e-01,3.55707489e-01,2.99757400e-01,4.25615865e-01,3.57185533e-01
0.2700,2.89692005e-01,5.27039994e-01,5.27039994e-01,3.96201865e-01,7.20814607e-01,7.20814607e-01,1.97333697e-01,3.59011463e-01,3.59011463e-01,3.38786825e-01,2.90942237e-01,3.97911765e-01,3.40248937e-01
0.2800,3.39298295e-01,6.63967312e-01,6.63967312e-01,4.43146645e-01,8.67186458e-01,8.67186458e-01,1.83533229e-01,3.59153190e-01,3.59153190e-01,3.87761397e-01,3.40817091e-01,4.45130296e-01,3.89497128e-01
0.2900,3.93980124e-01,8.27158434e-01,8.27158434e-01,5.40096050e-01,1.13392777e+00,1.13392777e+00,1.63466045e-01,3.43195785e-01,3.43195785e-01,4.61288531e-01,3.95806968e-01,5.42600419e-01,4.63427477e-01
0.3000,3.90530738e-01,8.77577686e-01,8.77577686e-01,6.62313920e-01,1.48831285e+00,1.48831285e+00,1.68042536e-01,3.77615295e-01,3.77615295e-01,5.08580322e-01,3.92404331e-01,6.65491407e-01,5.11020264e-01
0.3100,4.11655805e-01,9.87904421e-01,9.87904421e-01,7.83708739e-01,1.88076864e+00,1.88076864e+00,1.72800052e-01,4.14690946e-01,4.14690946e-01,5.67994940e-01,4.13696904e-01,7.87594575e-01,5.70811210e-01
