T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.0000,3.53802890e-02,0.00000000e+00,0.00000000e+00,3.67563074e-02,0.00000000e+00,0.00000000e+00,1.84745128e-02,0.00000000e+00,0.00000000e+00,3.60617357e-02,3.53802890e-02,3.67563074e-02,3.60617357e-02
0.0100,3.53740208e-02,8.79149681e-05,8.79149681e-05,3.67496051e-02,9.13337045e-05,9.13337045e-05,1.84629586e-02,4.58859462e-05,4.58859462e-05,3.60552534e-02,3.53796516e-02,3.67554549e-02,3.60609926e-02
0.0200,3.54569678e-02,3.52540582e-04,3.52540582e-04,3.68423343e-02,3.66314967e-04,3.66314967e-04,1.87410180e-02,1.86337688e-04,1.86337688e-04,3.61430140e-02,3.54682577e-02,3.68540653e-02,3.61545223e-02
0.0300,3.55950217e-02,7.96431543e-04,7.96431543e-04,3.69828463e-02,8.27483843e-04,8.27483843e-04,1.92284991e-02,4.30233850e-04,4.30233850e-04,3.62822990e-02,3.56120252e-02,3.70005127e-02,3.62996308e-02
0.0400,3.58808724e-02,1.42747600e-03,1.42747600e-03,3.72465760e-02,1.48180883e-03,1.48180883e-03,2.03298496e-02,8.08797850e-04,8.08797850e-04,3.65573473e-02,3.59037295e-02,3.72703030e-02,3.65806353e-02
0.0500,3.64024904e-02,2.26321657e-03,2.26321657e-03,3.80998939e-02,2.36874758e-03,2.36874758e-03,2.33977467e-02,1.45468531e-03,1.45468531e-03,3.72415229e-02,3.64314817e-02,3.81302370e-02,3.72711823e-02
0.0600,3.56096348e-02,3.18855718e-03,3.18855718e-03,3.94291733e-02,3.53056622e-03,3.53056622e-03,2.80255143e-02,2.50946002e-03,2.50946002e-03,3.74707681e-02,3.56436720e-02,3.94668614e-02,3.75065842e-02
0.0700,3.70221716e-02,4.51285470e-03,4.51285470e-03,3.80129490e-02,4.63362651e-03,4.63362651e-03,2.94512796e-02,3.58999324e-03,3.58999324e-03,3.75142896e-02,3.70634634e-02,3.80553459e-02,3.75561303e-02
0.0800,4.04658398e-02,6.44363773e-03,6.44363773e-03,4.28562058e-02,6.82427119e-03,6.82427119e-03,3.75468047e-02,5.97882087e-03,5.97882087e-03,4.16438754e-02,4.05174282e-02,4.29108416e-02,4.16969656e-02
0.0900,4.13558648e-02,8.33592740e-03,8.33592740e-03,4.55217501e-02,9.17562734e-03,9.17562734e-03,3.96797663e-02,7.99808328e-03,7.99808328e-03,4.33888389e-02,4.14151877e-02,4.55870487e-02,4.34510780e-02
0.1000,4.98618117e-02,1.24099227e-02,1.24099227e-02,4.22753462e-02,1.05217552e-02,1.05217552e-02,3.92116564e-02,9.75924478e-03,9.75924478e-03,4.59121482e-02,4.99412957e-02,4.23427368e-02,4.59853361e-02
0.1100,5.19472203e-02,1.56465266e-02,1.56465266e-02,4.50708740e-02,1.35753679e-02,1.35753679e-02,5.42689020e-02,1.63458182e-02,1.63458182e-02,4.83870501e-02,5.20383240e-02,4.51499181e-02,4.84719101e-02
0.1200,5.22610870e-02,1.87361535e-02,1.87361535e-02,4.67053066e-02,1.67443473e-02,1.67443473e-02,7.52072605e-02,2.69625998e-02,2.69625998e-02,4.94051626e-02,5.23610893e-02,4.67946778e-02,4.94997001e-02
