T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.0000,5.30015963e-02,0.00000000e+00,0.00000000e+00,6.67519192e-02,0.00000000e+00,0.00000000e+00,3.29356593e-02,0.00000000e+00,0.00000000e+00,5.94807387e-02,5.30015963e-02,6.67519192e-02,5.94807387e-02
0.0100,5.29502806e-02,1.31597204e-04,1.31597204e-04,6.67374957e-02,1.65862536e-04,1.65862536e-04,3.29252303e-02,8.18289951e-05,8.18289951e-05,5.94455139e-02,5.29587092e-02,6.67481190e-02,5.94549764e-02
0.0200,5.40177362e-02,5.37086089e-04,5.37086089e-04,6.77010157e-02,6.73135831e-04,6.73135831e-04,3.42233251e-02,3.40274753e-04,3.40274753e-04,6.04735943e-02,5.40349361e-02,6.77225724e-02,6.04928498e-02
0.0300,5.59839639e-02,1.25263008e-03,1.25263008e-03,6.92974822e-02,1.55051740e-03,1.55051740e-03,3.70372630e-02,8.28701406e-04,8.28701406e-04,6.22860156e-02,5.60107070e-02,6.93305851e-02,6.23157692e-02
0.0400,6.03180049e-02,2.39967701e-03,2.39967701e-03,7.09909049e-02,2.82428509e-03,2.82428509e-03,4.27243833e-02,1.69973659e-03,1.69973659e-03,6.54372199e-02,6.03564290e-02,7.10361279e-02,6.54789051e-02
0.0500,6.35416383e-02,3.95051236e-03,3.95051236e-03,7.64393554e-02,4.75238956e-03,4.75238956e-03,5.48959935e-02,3.41299512e-03,3.41299512e-03,6.96927677e-02,6.35922434e-02,7.65002323e-02,6.97482716e-02
0.0600,6.98535503e-02,6.25482516e-03,6.25482516e-03,8.14267917e-02,7.29111610e-03,7.29111610e-03,9.15170759e-02,8.19462012e-03,8.19462012e-03,7.54185023e-02,6.99203193e-02,8.15046229e-02,7.54905905e-02
0.0700,8.20712702e-02,1.00041597e-02,1.00041597e-02,9.29098725e-02,1.13253420e-02,1.13253420e-02,1.01802932e-01,1.24093703e-02,1.24093703e-02,8.73225701e-02,8.21628065e-02,9.30134974e-02,8.74199633e-02
0.0800,9.05493740e-02,1.44187632e-02,1.44187632e-02,1.11857609e-01,1.78118115e-02,1.78118115e-02,1.02772144e-01,1.63650740e-02,1.63650740e-02,1.00641127e-01,9.06648121e-02,1.12000212e-01,1.00769431e-01
0.0900,1.37077279e-01,2.76300895e-02,2.76300895e-02,1.20399448e-01,2.42684094e-02,2.42684094e-02,1.09291640e-01,2.20294553e-02,2.20294553e-02,1.28468007e-01,1.37273910e-01,1.20572155e-01,1.28652288e-01
0.1000,1.30727317e-01,3.25362406e-02,3.25362406e-02,1.45880146e-01,3.63075724e-02,3.63075724e-02,1.32722010e-01,3.30326923e-02,3.30326923e-02,1.38096054e-01,1.30935708e-01,1.46112692e-01,1.38316191e-01
0.1100,1.61677142e-01,4.86972294e-02,4.86972294e-02,1.95924974e-01,5.90126918e-02,5.90126918e-02,1.00932911e-01,3.04010390e-02,3.04010390e-02,1.77979184e-01,1.61960688e-01,1.96268582e-01,1.78291319e-01
0.1200,1.68914218e-01,6.05575370e-02,6.05575370e-02,2.48353801e-01,8.90374695e-02,8.90374695e-02,9.57444543e-02,3.43254015e-02,3.43254015e-02,2.04818183e-01,1.69237437e-01,2.48829029e-01,2.05210105e-01
