T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.0000,9.56075150e-02,0.00000000e+00,0.00000000e+00,1.33439546e-01,0.00000000e+00,0.00000000e+00,8.27986619e-02,0.00000000e+00,0.00000000e+00,1.12950535e-01,9.56075150e-02,1.33439546e-01,1.12950535e-01
0.0100,9.54565711e-02,2.37237985e-04,2.37237985e-04,1.33302283e-01,3.31295840e-04,3.31295840e-04,8.26388584e-02,2.05382154e-04,2.05382154e-04,1.12803275e-01,9.54717660e-02,1.33323502e-01,1.12821231e-01
0.0200,9.55625815e-02,9.50157055e-04,9.50157055e-04,1.33408493e-01,1.32645036e-03,1.32645036e-03,8.26034461e-02,8.21307314e-04,8.21307314e-04,1.12910850e-01,9.55930097e-02,1.33450971e-01,1.12946802e-01
0.0300,9.58221514e-02,2.14400161e-03,2.14400161e-03,1.33689924e-01,2.99128551e-03,2.99128551e-03,8.40819474e-02,1.88131688e-03,1.88131688e-03,1.13183286e-01,9.58679250e-02,1.33753787e-01,1.13237353e-01
0.0400,9.71719713e-02,3.86586635e-03,3.86586635e-03,1.34125732e-01,5.33602588e-03,5.33602588e-03,8.70075165e-02,3.46148612e-03,3.46148612e-03,1.14163312e-01,9.72338723e-02,1.34211174e-01,1.14236037e-01
0.0500,1.17010400e-01,7.27477360e-03,7.27477360e-03,1.37683269e-01,8.56004773e-03,8.56004773e-03,9.37876995e-02,5.83097126e-03,5.83097126e-03,1.26926650e-01,1.17103588e-01,1.37792921e-01,1.27027735e-01
0.0600,1.12907528e-01,1.01099635e-02,1.01099635e-02,1.40712435e-01,1.25996699e-02,1.25996699e-02,9.03239442e-02,8.08778475e-03,8.08778475e-03,1.26045599e-01,1.13015450e-01,1.40846933e-01,1.26166079e-01
0.0700,1.13701771e-01,1.38597913e-02,1.38597913e-02,1.46103492e-01,1.78094316e-02,1.78094316e-02,1.26697615e-01,1.54439328e-02,1.54439328e-02,1.28888424e-01,1.13828586e-01,1.46266446e-01,1.29032177e-01
0.0800,1.29526735e-01,2.06253809e-02,2.06253809e-02,1.47165878e-01,2.34341758e-02,2.34341758e-02,1.18785972e-01,1.89150596e-02,1.89150596e-02,1.38064897e-01,1.29691864e-01,1.47353494e-01,1.38240911e-01
0.0900,1.56752290e-01,3.15958986e-02,3.15958986e-02,1.65420206e-01,3.33430538e-02,3.33430538e-02,1.17696634e-01,2.37236146e-02,2.37236146e-02,1.61027936e-01,1.56977144e-01,1.65657493e-01,1.61258922e-01
