T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.0000,4.26275725e-01,0.00000000e+00,0.00000000e+00,2.64990908e-01,0.00000000e+00,0.00000000e+00,1.05952196e-01,0.00000000e+00,0.00000000e+00,3.36094022e-01,4.26275725e-01,2.64990908e-01,3.36094022e-01
0.0100,4.25759072e-01,1.05813799e-03,1.05813799e-03,2.64677005e-01,6.57801119e-04,6.57801119e-04,1.06054437e-01,2.63576834e-04,2.63576834e-04,3.35691281e-01,4.25826845e-01,2.64719136e-01,3.35744716e-01
0.0200,4.39872012e-01,4.37354757e-03,4.37354757e-03,2.70587525e-01,2.69039034e-03,2.69039034e-03,1.09075239e-01,1.08451034e-03,1.08451034e-03,3.44998375e-01,4.40012072e-01,2.70673683e-01,3.45108227e-01
0.0300,4.73484155e-01,1.05941140e-02,1.05941140e-02,2.84106761e-01,6.35683237e-03,6.35683237e-03,1.14245808e-01,2.55622726e-03,2.55622726e-03,3.66769750e-01,4.73710335e-01,2.84242477e-01,3.66944954e-01
0.0400,5.26618882e-01,2.09508790e-02,2.09508790e-02,3.10369696e-01,1.23476734e-02,1.23476734e-02,1.20489456e-01,4.79352357e-03,4.79352357e-03,4.04285224e-01,5.26954352e-01,3.10567409e-01,4.04542764e-01
0.0500,5.30636312e-01,3.29907344e-02,3.29907344e-02,3.37583091e-01,2.09882246e-02,2.09882246e-02,1.29505250e-01,8.05160374e-03,8.05160374e-03,4.23242066e-01,5.31058915e-01,3.37851945e-01,4.23579139e-01
0.0600,5.33442893e-01,4.77655325e-02,4.77655325e-02,3.40963229e-01,3.05305224e-02,3.05305224e-02,1.82331463e-01,1.63263201e-02,1.63263201e-02,4.26479087e-01,5.33952781e-01,3.41289136e-01,4.26886733e-01
0.0700,5.91250495e-01,7.20710714e-02,7.20710714e-02,3.57819222e-01,4.36167325e-02,4.36167325e-02,2.09096925e-01,2.54880792e-02,2.54880792e-02,4.59957381e-01,5.91909933e-01,3.58218307e-01,4.60470384e-01
0.0800,5.55464127e-01,8.84501501e-02,8.84501501e-02,3.95159687e-01,6.29238361e-02,6.29238361e-02,2.20637196e-01,3.51334895e-02,3.51334895e-02,4.68505102e-01,5.56172267e-01,3.95663462e-01,4.69102382e-01
0.0900,5.45989926e-01,1.10052889e-01,1.10052889e-01,3.59135750e-01,7.23894798e-02,7.23894798e-02,2.02778324e-01,4.08731722e-02,4.08731722e-02,4.42814297e-01,5.46773121e-01,3.59650912e-01,4.43449492e-01
