T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.0000,2.05718125e-01,0.00000000e+00,0.00000000e+00,1.65185381e-01,0.00000000e+00,0.00000000e+00,7.22500749e-02,0.00000000e+00,0.00000000e+00,1.84341061e-01,2.05718125e-01,1.65185381e-01,1.84341061e-01
0.0100,2.05696424e-01,5.11216824e-04,5.11216824e-04,1.65164053e-01,4.10481820e-04,4.10481820e-04,7.22276108e-02,1.79507106e-04,1.79507106e-04,1.84319437e-01,2.05729167e-01,1.65190344e-01,1.84348777e-01
0.0200,2.06451642e-01,2.05270181e-03,2.05270181e-03,1.65454099e-01,1.64507255e-03,1.64507255e-03,7.25922329e-02,7.21768093e-04,7.21768093e-04,1.84819562e-01,2.06517378e-01,1.65506782e-01,1.84878411e-01
0.0300,2.07948916e-01,4.65281570e-03,4.65281570e-03,1.66719748e-01,3.73032126e-03,3.73032126e-03,7.35449309e-02,1.64555323e-03,1.64555323e-03,1.86196646e-01,2.08048251e-01,1.66799389e-01,1.86285590e-01
0.0400,2.21423453e-01,8.80905742e-03,8.80905742e-03,1.76274231e-01,7.01285161e-03,7.01285161e-03,7.75446124e-02,3.08501622e-03,3.08501622e-03,1.97563278e-01,2.21564505e-01,1.76386522e-01,1.97689131e-01
0.0500,2.26125878e-01,1.40587039e-02,1.40587039e-02,1.72695392e-01,1.07368223e-02,1.07368223e-02,7.48877274e-02,4.65592171e-03,4.65592171e-03,1.97612998e-01,2.26305967e-01,1.72832928e-01,1.97770379e-01
0.0600,2.23721268e-01,2.00324452e-02,2.00324452e-02,1.74488222e-01,1.56240208e-02,1.56240208e-02,8.04322748e-02,7.20206508e-03,7.20206508e-03,1.97577140e-01,2.23935111e-01,1.74655005e-01,1.97765993e-01
0.0700,2.23551349e-01,2.72500157e-02,2.72500157e-02,1.87991417e-01,2.29154021e-02,2.29154021e-02,7.84477035e-02,9.56246142e-03,9.56246142e-03,2.05001793e-01,2.23800682e-01,1.88201089e-01,2.05230437e-01
0.0800,2.19766495e-01,3.49948423e-02,3.49948423e-02,1.82183687e-01,2.90102883e-02,2.90102883e-02,8.05734981e-02,1.28302399e-02,1.28302399e-02,2.00094654e-01,2.20046667e-01,1.82415946e-01,2.00349747e-01
0.0900,2.12014822e-01,4.27349342e-02,4.27349342e-02,1.91860821e-01,3.86725771e-02,3.86725771e-02,9.53262483e-02,1.92145102e-02,1.92145102e-02,2.01686236e-01,2.12318946e-01,1.92136035e-01,2.01975544e-01
