T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.0000,1.57275934e-01,0.00000000e+00,0.00000000e+00,1.45684865e-01,0.00000000e+00,0.00000000e+00,8.24256406e-02,0.00000000e+00,0.00000000e+00,1.51369492e-01,1.57275934e-01,1.45684865e-01,1.51369492e-01
0.0100,1.57262837e-01,4.58558846e-03,3.90862515e-04,1.45672622e-01,8.36395244e-03,3.62051358e-04,8.24191317e-02,7.30970446e-03,2.04876740e-04,1.51356829e-01,1.57294940e-01,1.45700456e-01,1.51386738e-01
0.0200,8.57705781e-02,2.36908284e-01,9.25241860e-04,7.92580065e-02,2.17187043e-01,8.55249257e-04,4.74281446e-02,1.33022595e-01,5.07264178e-04,8.24500154e-02,9.30863520e-02,8.60445650e-02,8.94962271e-02
0.0300,5.33368775e-02,3.28704716e-01,1.32704903e-03,4.83119818e-02,2.98589005e-01,1.20877956e-03,3.53413791e-02,2.03998684e-01,8.45311234e-04,5.07622916e-02,5.93383119e-02,5.40499537e-02,5.66324378e-02
0.0400,4.22115987e-02,3.89434068e-01,1.88982384e-03,5.13493170e-02,3.48468018e-01,2.08314446e-03,3.74126967e-02,2.82852290e-01,1.53852785e-03,4.65568122e-02,4.75326547e-02,5.23950349e-02,4.99046601e-02
0.0500,4.06446637e-02,4.35072684e-01,2.76683955e-03,5.78881831e-02,5.34512566e-01,3.49736840e-03,5.15467771e-02,4.24610646e-01,3.16020011e-03,4.85061412e-02,4.45384087e-02,5.62978879e-02,5.00741284e-02
0.0600,4.56622891e-02,5.04605200e-01,4.16001850e-03,7.20358965e-02,7.42596949e-01,6.32035994e-03,7.55560688e-02,7.50951137e-01,6.71215672e-03,5.73526280e-02,4.65032698e-02,7.06529078e-02,5.73200771e-02
0.0700,5.44962471e-02,6.50901880e-01,6.69307966e-03,7.54675519e-02,8.74371194e-01,9.16871355e-03,1.21828183e-01,1.17275809e+00,1.49504858e-02,6.41303232e-02,5.49693553e-02,7.53014005e-02,6.43371544e-02
0.0800,6.68966609e-02,8.08015961e-01,1.06359361e-02,1.06426720e-01,1.37852046e+00,1.69508857e-02,1.46423023e-01,1.72150324e+00,2.34039361e-02,8.43776760e-02,6.68784922e-02,1.06586733e-01,8.44296157e-02
0.0900,7.72523105e-02,9.97302878e-01,1.55767518e-02,1.10117699e-01,1.54553722e+00,2.20702899e-02,2.33183931e-01,3.16647925e+00,4.72035863e-02,9.22325685e-02,7.73896015e-02,1.09651291e-01,9.21187803e-02
