time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
0.00000000e+00,4.81329696e-06,1.77084012e-06,-5.75626741e-06,4.90652086e-09,1.80513774e-09,-5.86775475e-09
5.00000000e-03,4.81328962e-06,1.77086963e-06,-5.75627589e-06,4.90651337e-09,1.80516782e-09,-5.86776340e-09
1.00000000e-02,4.81326752e-06,1.77095886e-06,-5.75630149e-06,4.90649085e-09,1.80525878e-09,-5.86778949e-09
1.50000000e-02,4.81323053e-06,1.77110882e-06,-5.75634441e-06,4.90645314e-09,1.80541165e-09,-5.86783324e-09
2.00000000e-02,4.81317855e-06,1.77132055e-06,-5.75640485e-06,4.90640015e-09,1.80562747e-09,-5.86789486e-09
2.50000000e-02,4.81311145e-06,1.77159505e-06,-5.75648303e-06,4.90633175e-09,1.80590729e-09,-5.86797454e-09
3.00000000e-02,4.81302913e-06,1.77193333e-06,-5.75657912e-06,4.90624784e-09,1.80625212e-09,-5.86807250e-09
3.50000000e-02,4.81293150e-06,1.77233635e-06,-5.75669334e-06,4.90614832e-09,1.80666295e-09,-5.86818893e-09
4.00000000e-02,4.81281845e-06,1.77280500e-06,-5.75682589e-06,4.90603308e-09,1.80714067e-09,-5.86832405e-09
4.50000000e-02,4.81268986e-06,1.77334005e-06,-5.75697703e-06,4.90590200e-09,1.80768609e-09,-5.86847812e-09
5.00000000e-02,4.81254558e-06,1.77394226e-06,-5.75714698e-06,4.90575493e-09,1.80829996e-09,-5.86865135e-09
5.50000000e-02,4.81238547e-06,1.77461242e-06,-5.75733588e-06,4.90559171e-09,1.80898310e-09,-5.86884391e-09
6.00000000e-02,4.81220936e-06,1.77535158e-06,-5.75754377e-06,4.90541219e-09,1.80973658e-09,-5.86905583e-09
6.50000000e-02,4.81201719e-06,1.77616110e-06,-5.75777064e-06,4.90521630e-09,1.81056177e-09,-5.86928709e-09
7.00000000e-02,4.81180898e-06,1.77704259e-06,-5.75801661e-06,4.90500405e-09,1.81146033e-09,-5.86953783e-09
7.50000000e-02,4.81158487e-06,1.77799756e-06,-5.75828217e-06,4.90477561e-09,1.81243380e-09,-5.86980853e-09
8.00000000e-02,4.81134506e-06,1.77902690e-06,-5.75856827e-06,4.90453116e-09,1.81348308e-09,-5.87010018e-09
8.50000000e-02,4.81108964e-06,1.78013043e-06,-5.75887608e-06,4.90427079e-09,1.81460799e-09,-5.87041394e-09
