time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
0.000000,3.27214249e-06,-6.10619076e-07,-1.80581271e-07,3.33551732e-09,-6.22445542e-10,-1.84078768e-10
0.005000,3.27214246e-06,-6.10620325e-07,-1.80584928e-07,3.33551729e-09,-6.22446815e-10,-1.84082495e-10
0.010000,3.27214237e-06,-6.10624099e-07,-1.80596000e-07,3.33551720e-09,-6.22450662e-10,-1.84093782e-10
0.015000,3.27214222e-06,-6.10630437e-07,-1.80614645e-07,3.33551704e-09,-6.22457123e-10,-1.84112788e-10
0.020000,3.27214201e-06,-6.10639378e-07,-1.80641015e-07,3.33551683e-09,-6.22466237e-10,-1.84139669e-10
0.025000,3.27214175e-06,-6.10650961e-07,-1.80675265e-07,3.33551657e-09,-6.22478043e-10,-1.84174582e-10
0.030000,3.27214144e-06,-6.10665222e-07,-1.80717550e-07,3.33551624e-09,-6.22492581e-10,-1.84217686e-10
0.035000,3.27214107e-06,-6.10682201e-07,-1.80768022e-07,3.33551587e-09,-6.22509889e-10,-1.84269136e-10
0.040000,3.27214065e-06,-6.10701935e-07,-1.80826836e-07,3.33551544e-09,-6.22530005e-10,-1.84329089e-10
0.045000,3.27214017e-06,-6.10724461e-07,-1.80894146e-07,3.33551496e-09,-6.22552967e-10,-1.84397702e-10
0.050000,3.27213965e-06,-6.10749816e-07,-1.80970105e-07,3.33551442e-09,-6.22578813e-10,-1.84475132e-10
0.055000,3.27213907e-06,-6.10778036e-07,-1.81054866e-07,3.33551383e-09,-6.22607580e-10,-1.84561535e-10
0.060000,3.27213843e-06,-6.10809158e-07,-1.81148579e-07,3.33551319e-09,-6.22639304e-10,-1.84657064e-10
0.065000,3.27213775e-06,-6.10843215e-07,-1.81251395e-07,3.33551248e-09,-6.22674022e-10,-1.84761870e-10
0.070000,3.27213701e-06,-6.10880244e-07,-1.81363461e-07,3.33551173e-09,-6.22711768e-10,-1.84876107e-10
0.075000,3.27213621e-06,-6.10920280e-07,-1.81484929e-07,3.33551092e-09,-6.22752579e-10,-1.84999927e-10
0.080000,3.27213537e-06,-6.10963358e-07,-1.81615955e-07,3.33551006e-09,-6.22796492e-10,-1.85133492e-10
0.085000,3.27213446e-06,-6.11009513e-07,-1.81756702e-07,3.33550913e-09,-6.22843540e-10,-1.85276964e-10
0.090000,3.27213347e-06,-6.11058777e-07,-1.81907331e-07,3.33550813e-09,-6.22893759e-10,-1.85430511e-10
0.095000,3.27213240e-06,-6.11111184e-07,-1.82067996e-07,3.33550703e-09,-6.22947181e-10,-1.85594288e-10
0.100000,3.27213122e-06,-6.11166767e-07,-1.82238834e-07,3.33550583e-09,-6.23003840e-10,-1.85768434e-10
0.105000,3.27212993e-06,-6.11225560e-07,-1.82419968e-07,3.33550452e-09,-6.23063771e-10,-1.85953076e-10
0.110000,3.27212856e-06,-6.11287597e-07,-1.82611523e-07,3.33550312e-09,-6.23127011e-10,-1.86148342e-10
