time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
0.000000,1.81604908e-06,-2.95513148e-07,-5.98000370e-07,1.85122231e-09,-3.01236644e-10,-6.09582436e-10
0.005000,1.81605460e-06,-2.95518619e-07,-5.98000173e-07,1.85122794e-09,-3.01242221e-10,-6.09582236e-10
0.010000,1.81607122e-06,-2.95535093e-07,-5.97999555e-07,1.85124487e-09,-3.01259014e-10,-6.09581606e-10
0.015000,1.81609898e-06,-2.95562658e-07,-5.97998474e-07,1.85127317e-09,-3.01287113e-10,-6.09580503e-10
0.020000,1.81613796e-06,-2.95601401e-07,-5.97996887e-07,1.85131291e-09,-3.01326606e-10,-6.09578886e-10
0.025000,1.81618822e-06,-2.95651406e-07,-5.97994753e-07,1.85136414e-09,-3.01377580e-10,-6.09576710e-10
0.030000,1.81624981e-06,-2.95712756e-07,-5.97992029e-07,1.85142693e-09,-3.01440118e-10,-6.09573934e-10
0.035000,1.81632280e-06,-2.95785532e-07,-5.97988673e-07,1.85150133e-09,-3.01514304e-10,-6.09570513e-10
0.040000,1.81640724e-06,-2.95869814e-07,-5.97984642e-07,1.85158740e-09,-3.01600218e-10,-6.09566404e-10
0.045000,1.81650319e-06,-2.95965680e-07,-5.97979894e-07,1.85168521e-09,-3.01697941e-10,-6.09561564e-10
0.050000,1.81661069e-06,-2.96073206e-07,-5.97974386e-07,1.85179479e-09,-3.01807549e-10,-6.09555949e-10
0.055000,1.81672981e-06,-2.96192465e-07,-5.97968074e-07,1.85191622e-09,-3.01929118e-10,-6.09549515e-10
0.060000,1.81686059e-06,-2.96323529e-07,-5.97960916e-07,1.85204953e-09,-3.02062720e-10,-6.09542219e-10
0.065000,1.81700308e-06,-2.96466469e-07,-5.97952870e-07,1.85219479e-09,-3.02208429e-10,-6.09534016e-10
0.070000,1.81715734e-06,-2.96621356e-07,-5.97943892e-07,1.85235203e-09,-3.02366316e-10,-6.09524864e-10
0.075000,1.81732340e-06,-2.96788257e-07,-5.97933937e-07,1.85252130e-09,-3.02536450e-10,-6.09514717e-10
0.080000,1.81750131e-06,-2.96967241e-07,-5.97922961e-07,1.85270266e-09,-3.02718900e-10,-6.09503528e-10
0.085000,1.81769112e-06,-2.97158369e-07,-5.97910917e-07,1.85289615e-09,-3.02913730e-10,-6.09491251e-10
0.090000,1.81789287e-06,-2.97361698e-07,-5.97897760e-07,1.85310181e-09,-3.03120997e-10,-6.09477839e-10
0.095000,1.81810661e-06,-2.97577284e-07,-5.97883449e-07,1.85331969e-09,-3.03340759e-10,-6.09463251e-10
0.100000,1.81833237e-06,-2.97805182e-07,-5.97867948e-07,1.85354982e-09,-3.03573070e-10,-6.09447450e-10
0.105000,1.81857019e-06,-2.98045450e-07,-5.97851217e-07,1.85379224e-09,-3.03817992e-10,-6.09430395e-10
0.110000,1.81882009e-06,-2.98298150e-07,-5.97833209e-07,1.85404698e-09,-3.04075586e-10,-6.09412038e-10
0.115000,1.81908210e-06,-2.98563339e-07,-5.97813862e-07,1.85431407e-09,-3.04345911e-10,-6.09392316e-10
0.120000,1.81935627e-06,-2.98841070e-07,-5.97793112e-07,1.85459355e-09,-3.04629021e-10,-6.09371164e-10
0.125000,1.81964265e-06,-2.99131391e-07,-5.97770904e-07,1.85488547e-09,-3.04924965e-10,-6.09348526e-10
0.130000,1.81994127e-06,-2.99434347e-07,-5.97747208e-07,1.85518988e-09,-3.05233788e-10,-6.09324371e-10
0.135000,1.82025216e-06,-2.99749982e-07,-5.97722015e-07,1.85550679e-09,-3.05555538e-10,-6.09298691e-10
0.140000,1.82057531e-06,-3.00078344e-07,-5.97695312e-07,1.85583620e-09,-3.05890259e-10,-6.09271470e-10
0.145000,1.82091072e-06,-3.00419470e-07,-5.97667053e-07,1.85617811e-09,-3.06237992e-10,-6.09242664e-10
0.150000,1.82125842e-06,-3.00773390e-07,-5.97637163e-07,1.85653254e-09,-3.06598766e-10,-6.09212194e-10
0.155000,1.82161845e-06,-3.01140125e-07,-5.97605562e-07,1.85689954e-09,-3.06972604e-10,-6.09179981e-10
0.160000,1.82199090e-06,-3.01519703e-07,-5.97572207e-07,1.85727921e-09,-3.07359534e-10,-6.09145981e-10
0.165000,1.82237584e-06,-3.01912164e-07,-5.97537105e-07,1.85767160e-09,-3.07759596e-10,-6.09110199e-10
0.170000,1.82277328e-06,-3.02317551e-07,-5.97500273e-07,1.85807674e-09,-3.08172835e-10,-6.09072653e-10
0.175000,1.82318323e-06,-3.02735914e-07,-5.97461690e-07,1.85849462e-09,-3.08599301e-10,-6.09033324e-10
0.180000,1.82360566e-06,-3.03167312e-07,-5.97421264e-07,1.85892524e-09,-3.09039054e-10,-6.08992114e-10
0.185000,1.82404056e-06,-3.03611833e-07,-5.97378856e-07,1.85936856e-09,-3.09492185e-10,-6.08948885e-10
0.190000,1.82448790e-06,-3.04069578e-07,-5.97334352e-07,1.85982456e-09,-3.09958795e-10,-6.08903519e-10
0.195000,1.82494766e-06,-3.04540598e-07,-5.97287714e-07,1.86029323e-09,-3.10438938e-10,-6.08855978e-10
0.200000,1.82541981e-06,-3.05024845e-07,-5.97238955e-07,1.86077452e-09,-3.10932564e-10,-6.08806274e-10
0.205000,1.82590434e-06,-3.05522201e-07,-5.97188065e-07,1.86126844e-09,-3.11439552e-10,-6.08754398e-10
0.210000,1.82640130e-06,-3.06032590e-07,-5.97134982e-07,1.86177503e-09,-3.11959827e-10,-6.08700288e-10
0.215000,1.82691079e-06,-3.06556089e-07,-5.97079653e-07,1.86229438e-09,-3.12493464e-10,-6.08643887e-10
0.220000,1.82743295e-06,-3.07092924e-07,-5.97022145e-07,1.86282665e-09,-3.13040698e-10,-6.08585265e-10
0.225000,1.82796789e-06,-3.07643336e-07,-5.96962671e-07,1.86337195e-09,-3.13601770e-10,-6.08524639e-10
0.230000,1.82851563e-06,-3.08207387e-07,-5.96901442e-07,1.86393031e-09,-3.14176745e-10,-6.08462224e-10
0.235000,1.82907607e-06,-3.08784876e-07,-5.96838385e-07,1.86450160e-09,-3.14765419e-10,-6.08397946e-10
0.240000,1.82964906e-06,-3.09375435e-07,-5.96772939e-07,1.86508569e-09,-3.15367416e-10,-6.08331233e-10
0.245000,1.83023461e-06,-3.09978763e-07,-5.96704169e-07,1.86568258e-09,-3.15982429e-10,-6.08261130e-10
0.250000,1.83083290e-06,-3.10594849e-07,-5.96631251e-07,1.86629246e-09,-3.16610448e-10,-6.08186800e-10
0.255000,1.83144420e-06,-3.11224010e-07,-5.96554067e-07,1.86691560e-09,-3.17251795e-10,-6.08108121e-10
0.260000,1.83206859e-06,-3.11866703e-07,-5.96473426e-07,1.86755208e-09,-3.17906935e-10,-6.08025919e-10
0.265000,1.83270579e-06,-3.12523233e-07,-5.96390690e-07,1.86820162e-09,-3.18576181e-10,-6.07941580e-10
0.270000,1.83335523e-06,-3.13193571e-07,-5.96306975e-07,1.86886364e-09,-3.19259501e-10,-6.07856243e-10
0.275000,1.83401640e-06,-3.13877359e-07,-5.96222483e-07,1.86953762e-09,-3.19956534e-10,-6.07770116e-10
0.280000,1.83468917e-06,-3.14574093e-07,-5.96136377e-07,1.87022341e-09,-3.20666761e-10,-6.07682341e-10
0.285000,1.83537385e-06,-3.15283392e-07,-5.96047175e-07,1.87092136e-09,-3.21389798e-10,-6.07591412e-10
0.290000,1.83607100e-06,-3.16005284e-07,-5.95953357e-07,1.87163201e-09,-3.22125672e-10,-6.07495777e-10
0.295000,1.83678106e-06,-3.16740265e-07,-5.95853905e-07,1.87235582e-09,-3.22874888e-10,-6.07394398e-10
0.300000,1.83750417e-06,-3.17489026e-07,-5.95748677e-07,1.87309293e-09,-3.23638151e-10,-6.07287132e-10
