time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
0.00000000e+00,-1.05849583e-06,4.84306148e-06,7.84008742e-06,-1.07899677e-09,4.93686185e-09,7.99193417e-09
5.00000000e-03,-1.05830036e-06,4.84306314e-06,7.83999828e-06,-1.07879751e-09,4.93686355e-09,7.99184330e-09
1.00000000e-02,-1.05770670e-06,4.84306817e-06,7.83972793e-06,-1.07819235e-09,4.93686868e-09,7.99156772e-09
1.50000000e-02,-1.05670405e-06,4.84307661e-06,7.83927206e-06,-1.07717029e-09,4.93687728e-09,7.99110301e-09
2.00000000e-02,-1.05528181e-06,4.84308850e-06,7.83862639e-06,-1.07572050e-09,4.93688940e-09,7.99044485e-09
2.50000000e-02,-1.05342953e-06,4.84310390e-06,7.83778676e-06,-1.07383234e-09,4.93690510e-09,7.98958895e-09
3.00000000e-02,-1.05113693e-06,4.84312285e-06,7.83674904e-06,-1.07149534e-09,4.93692442e-09,7.98853113e-09
3.50000000e-02,-1.04839383e-06,4.84314540e-06,7.83550915e-06,-1.06869911e-09,4.93694740e-09,7.98726723e-09
4.00000000e-02,-1.04519015e-06,4.84317158e-06,7.83406307e-06,-1.06543338e-09,4.93697409e-09,7.98579314e-09
4.50000000e-02,-1.04151596e-06,4.84320145e-06,7.83240681e-06,-1.06168803e-09,4.93700454e-09,7.98410480e-09
5.00000000e-02,-1.03736148e-06,4.84323506e-06,7.83053645e-06,-1.05745308e-09,4.93703879e-09,7.98219821e-09
5.50000000e-02,-1.03271708e-06,4.84327243e-06,7.82844815e-06,-1.05271874e-09,4.93707689e-09,7.98006947e-09
6.00000000e-02,-1.02757333e-06,4.84331363e-06,7.82613813e-06,-1.04747536e-09,4.93711889e-09,7.97771471e-09
6.50000000e-02,-1.02192089e-06,4.84335868e-06,7.82360267e-06,-1.04171345e-09,4.93716481e-09,7.97513015e-09
7.00000000e-02,-1.01575059e-06,4.84340762e-06,7.82083813e-06,-1.03542364e-09,4.93721470e-09,7.97231206e-09
7.50000000e-02,-1.00905336e-06,4.84346047e-06,7.81784090e-06,-1.02859670e-09,4.93726858e-09,7.96925678e-09
8.00000000e-02,-1.00182028e-06,4.84351727e-06,7.81460744e-06,-1.02122352e-09,4.93732647e-09,7.96596069e-09
8.50000000e-02,-9.94042555e-07,4.84357804e-06,7.81113422e-06,-1.01329516e-09,4.93738842e-09,7.96242020e-09
9.00000000e-02,-9.85711574e-07,4.84364284e-06,7.80741777e-06,-1.00480283e-09,4.93745447e-09,7.95863178e-09
9.50000000e-02,-9.76818837e-07,4.84371175e-06,7.80345466e-06,-9.95737856e-10,4.93752472e-09,7.95459191e-09
1.00000000e-01,-9.67355930e-07,4.84378487e-06,7.79924151e-06,-9.86091672e-10,4.93759925e-09,7.95029716e-09
1.05000000e-01,-9.57314495e-07,4.84386226e-06,7.79477507e-06,-9.75855755e-10,4.93767814e-09,7.94574421e-09
1.10000000e-01,-9.46686231e-07,4.84394395e-06,7.79005220e-06,-9.65021643e-10,4.93776141e-09,7.94092987e-09
1.15000000e-01,-9.35462952e-07,4.84402990e-06,7.78506993e-06,-9.53580991e-10,4.93784903e-09,7.93585110e-09
1.20000000e-01,-9.23636668e-07,4.84412008e-06,7.77982531e-06,-9.41525656e-10,4.93794096e-09,7.93050490e-09
1.25000000e-01,-9.11199668e-07,4.84421444e-06,7.77431534e-06,-9.28847776e-10,4.93803714e-09,7.92488821e-09
1.30000000e-01,-8.98144568e-07,4.84431298e-06,7.76853685e-06,-9.15539825e-10,4.93813760e-09,7.91899781e-09
1.35000000e-01,-8.84464319e-07,4.84441576e-06,7.76248657e-06,-9.01594617e-10,4.93824236e-09,7.91283035e-09
1.40000000e-01,-8.70152159e-07,4.84452283e-06,7.75616128e-06,-8.87005258e-10,4.93835151e-09,7.90638255e-09
1.45000000e-01,-8.55201470e-07,4.84463432e-06,7.74955803e-06,-8.71765005e-10,4.93846516e-09,7.89965141e-09
1.50000000e-01,-8.39605544e-07,4.84475043e-06,7.74267425e-06,-8.55867018e-10,4.93858352e-09,7.89263431e-09
1.55000000e-01,-8.23357311e-07,4.84487142e-06,7.73550767e-06,-8.39304088e-10,4.93870685e-09,7.88532892e-09
1.60000000e-01,-8.06449198e-07,4.84499749e-06,7.72805606e-06,-8.22068499e-10,4.93883536e-09,7.87773299e-09
1.65000000e-01,-7.88873290e-07,4.84512869e-06,7.72031704e-06,-8.04152182e-10,4.93896910e-09,7.86984408e-09
1.70000000e-01,-7.70621774e-07,4.84526477e-06,7.71228791e-06,-7.85547170e-10,4.93910782e-09,7.86165944e-09
1.75000000e-01,-7.51687472e-07,4.84540520e-06,7.70396571e-06,-7.66246149e-10,4.93925096e-09,7.85317605e-09
1.80000000e-01,-7.32064168e-07,4.84554928e-06,7.69534743e-06,-7.46242781e-10,4.93939784e-09,7.84439086e-09
1.85000000e-01,-7.11746522e-07,4.84569649e-06,7.68643034e-06,-7.25531623e-10,4.93954790e-09,7.83530106e-09
1.90000000e-01,-6.90729617e-07,4.84584673e-06,7.67721215e-06,-7.04107663e-10,4.93970105e-09,7.82590433e-09
1.95000000e-01,-6.69008417e-07,4.84600056e-06,7.66769094e-06,-6.81965766e-10,4.93985786e-09,7.81619871e-09
2.00000000e-01,-6.46577443e-07,4.84615907e-06,7.65786477e-06,-6.59100350e-10,4.94001944e-09,7.80618224e-09
2.05000000e-01,-6.23430869e-07,4.84632351e-06,7.64773125e-06,-6.35505473e-10,4.94018706e-09,7.79585245e-09
2.10000000e-01,-5.99562903e-07,4.84649476e-06,7.63728727e-06,-6.11175233e-10,4.94036163e-09,7.78520619e-09
2.15000000e-01,-5.74968106e-07,4.84667301e-06,7.62652928e-06,-5.86104083e-10,4.94054333e-09,7.77423983e-09
