time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
0.000000,3.48527004e-07,-5.11849378e-06,7.00587800e-06,3.55277272e-10,-5.21762873e-09,7.14156779e-09
0.010000,3.48581488e-07,-5.11849278e-06,7.00584632e-06,3.55332811e-10,-5.21762771e-09,7.14153549e-09
0.020000,3.48747233e-07,-5.11849032e-06,7.00574425e-06,3.55501766e-10,-5.21762520e-09,7.14143145e-09
0.030000,3.49027581e-07,-5.11848720e-06,7.00556147e-06,3.55787545e-10,-5.21762201e-09,7.14124513e-09
0.040000,3.49425761e-07,-5.11848419e-06,7.00528790e-06,3.56193437e-10,-5.21761895e-09,7.14096626e-09
0.050000,3.49944905e-07,-5.11848206e-06,7.00491363e-06,3.56722635e-10,-5.21761678e-09,7.14058474e-09
0.060000,3.50588026e-07,-5.11848157e-06,7.00442901e-06,3.57378212e-10,-5.21761628e-09,7.14009074e-09
0.070000,3.51358015e-07,-5.11848345e-06,7.00382469e-06,3.58163114e-10,-5.21761820e-09,7.13947471e-09
0.080000,3.52257656e-07,-5.11848843e-06,7.00309149e-06,3.59080180e-10,-5.21762327e-09,7.13872730e-09
0.090000,3.53289661e-07,-5.11849716e-06,7.00222040e-06,3.60132172e-10,-5.21763217e-09,7.13783935e-09
0.100000,3.54456617e-07,-5.11851030e-06,7.00120272e-06,3.61321730e-10,-5.21764557e-09,7.13680196e-09
0.110000,3.55760930e-07,-5.11852863e-06,7.00002992e-06,3.62651304e-10,-5.21766425e-09,7.13560644e-09
0.120000,3.57204949e-07,-5.11855286e-06,6.99869365e-06,3.64123292e-10,-5.21768895e-09,7.13424429e-09
0.130000,3.58791080e-07,-5.11858351e-06,6.99718590e-06,3.65740143e-10,-5.21772020e-09,7.13270733e-09
0.140000,3.60521524e-07,-5.11862101e-06,6.99549893e-06,3.67504102e-10,-5.21775842e-09,7.13098770e-09
0.150000,3.62398139e-07,-5.11866615e-06,6.99362487e-06,3.69417064e-10,-5.21780443e-09,7.12907734e-09
0.160000,3.64422841e-07,-5.11871971e-06,6.99155611e-06,3.71480979e-10,-5.21785903e-09,7.12696851e-09
0.170000,3.66597803e-07,-5.11878194e-06,6.98928628e-06,3.73698066e-10,-5.21792246e-09,7.12465472e-09
0.180000,3.68924913e-07,-5.11885339e-06,6.98680899e-06,3.76070248e-10,-5.21799530e-09,7.12212945e-09
0.190000,3.71405235e-07,-5.11893564e-06,6.98411584e-06,3.78598609e-10,-5.21807914e-09,7.11938414e-09
0.200000,3.74039660e-07,-5.11902907e-06,6.98119834e-06,3.81284057e-10,-5.21817438e-09,7.11641013e-09
0.210000,3.76830105e-07,-5.11913174e-06,6.97805172e-06,3.84128547e-10,-5.21827904e-09,7.11320257e-09
0.220000,3.79778883e-07,-5.11924344e-06,6.97467250e-06,3.87134437e-10,-5.21839290e-09,7.10975790e-09
0.230000,3.82887037e-07,-5.11936868e-06,6.97105261e-06,3.90302790e-10,-5.21852057e-09,7.10606790e-09
0.240000,3.86155417e-07,-5.11951081e-06,6.96718346e-06,3.93634472e-10,-5.21866545e-09,7.10212381e-09
0.250000,3.89586302e-07,-5.11966596e-06,6.96306439e-06,3.97131806e-10,-5.21882361e-09,7.09792497e-09
0.260000,3.93180639e-07,-5.11983021e-06,6.95869404e-06,4.00795758e-10,-5.21899104e-09,7.09346997e-09
0.270000,3.96937204e-07,-5.12000805e-06,6.95405820e-06,4.04625080e-10,-5.21917232e-09,7.08874434e-09
0.280000,4.00859186e-07,-5.12020396e-06,6.94914702e-06,4.08623023e-10,-5.21937203e-09,7.08373804e-09
0.290000,4.04953201e-07,-5.12041371e-06,6.94397047e-06,4.12796331e-10,-5.21958584e-09,7.07846124e-09
0.300000,4.09215767e-07,-5.12063585e-06,6.93852826e-06,4.17141455e-10,-5.21981229e-09,7.07291362e-09
0.310000,4.13634172e-07,-5.12087752e-06,6.93279038e-06,4.21645436e-10,-5.22005863e-09,7.06706461e-09
0.320000,4.18205537e-07,-5.12113733e-06,6.92674396e-06,4.26305338e-10,-5.22032348e-09,7.06090108e-09
0.330000,4.22941586e-07,-5.12140424e-06,6.92042193e-06,4.31133115e-10,-5.22059556e-09,7.05445660e-09
0.340000,4.27856360e-07,-5.12168115e-06,6.91384160e-06,4.36143078e-10,-5.22087783e-09,7.04774883e-09
0.350000,4.32955334e-07,-5.12198450e-06,6.90696118e-06,4.41340809e-10,-5.22118706e-09,7.04073515e-09
0.360000,4.38224400e-07,-5.12231471e-06,6.89974426e-06,4.46711927e-10,-5.22152366e-09,7.03337845e-09
0.370000,4.43633822e-07,-5.12264982e-06,6.89221621e-06,4.52226118e-10,-5.22186526e-09,7.02570460e-09
0.380000,4.49179924e-07,-5.12298070e-06,6.88441376e-06,4.57879637e-10,-5.22220255e-09,7.01775103e-09
0.390000,4.54915911e-07,-5.12333605e-06,6.87632001e-06,4.63726719e-10,-5.22256478e-09,7.00950052e-09
0.400000,4.60890337e-07,-5.12374380e-06,6.86787966e-06,4.69816858e-10,-5.22298043e-09,7.00089670e-09
0.410000,4.67052302e-07,-5.12417937e-06,6.85906916e-06,4.76098167e-10,-5.22342443e-09,6.99191556e-09
0.420000,4.73307493e-07,-5.12459902e-06,6.84993468e-06,4.82474508e-10,-5.22385221e-09,6.98260416e-09
0.430000,4.79680489e-07,-5.12501362e-06,6.84053855e-06,4.88970936e-10,-5.22427484e-09,6.97302605e-09
