time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
0.000000,1.83529820e-06,-2.36866862e-07,3.26937811e-06,1.87084424e-09,-2.41454498e-10,3.33269940e-09
0.005000,1.83527981e-06,-2.36869057e-07,3.26934637e-06,1.87082550e-09,-2.41456735e-10,3.33266705e-09
0.010000,1.83522428e-06,-2.36873645e-07,3.26925100e-06,1.87076888e-09,-2.41461412e-10,3.33256983e-09
0.015000,1.83513102e-06,-2.36877649e-07,3.26909178e-06,1.87067382e-09,-2.41465493e-10,3.33240752e-09
0.020000,1.83499948e-06,-2.36878128e-07,3.26886848e-06,1.87053974e-09,-2.41465981e-10,3.33217990e-09
0.025000,1.83482913e-06,-2.36872182e-07,3.26858090e-06,1.87036608e-09,-2.41459920e-10,3.33188675e-09
0.030000,1.83461942e-06,-2.36856938e-07,3.26822884e-06,1.87015231e-09,-2.41444381e-10,3.33152787e-09
0.035000,1.83436983e-06,-2.36829545e-07,3.26781211e-06,1.86989789e-09,-2.41416458e-10,3.33110307e-09
0.040000,1.83407986e-06,-2.36787169e-07,3.26733053e-06,1.86960231e-09,-2.41373261e-10,3.33061216e-09
0.045000,1.83374899e-06,-2.36727005e-07,3.26678392e-06,1.86926503e-09,-2.41311931e-10,3.33005496e-09
0.050000,1.83337673e-06,-2.36646281e-07,3.26617209e-06,1.86888555e-09,-2.41229644e-10,3.32943129e-09
0.055000,1.83296256e-06,-2.36542265e-07,3.26549490e-06,1.86846337e-09,-2.41123613e-10,3.32874097e-09
0.060000,1.83250602e-06,-2.36412255e-07,3.26475215e-06,1.86799798e-09,-2.40991086e-10,3.32798384e-09
0.065000,1.83200663e-06,-2.36253574e-07,3.26394368e-06,1.86748892e-09,-2.40829331e-10,3.32715972e-09
0.070000,1.83146394e-06,-2.36063558e-07,3.26306935e-06,1.86693572e-09,-2.40635635e-10,3.32626845e-09
0.075000,1.83087754e-06,-2.35839556e-07,3.26212902e-06,1.86633797e-09,-2.40407295e-10,3.32530991e-09
0.080000,1.83024703e-06,-2.35578936e-07,3.26112260e-06,1.86569524e-09,-2.40141627e-10,3.32428400e-09
0.085000,1.82957200e-06,-2.35279090e-07,3.26005004e-06,1.86500713e-09,-2.39835973e-10,3.32319066e-09
0.090000,1.82885204e-06,-2.34937455e-07,3.25891133e-06,1.86427323e-09,-2.39487721e-10,3.32202989e-09
0.095000,1.82808675e-06,-2.34551524e-07,3.25770646e-06,1.86349312e-09,-2.39094316e-10,3.32080169e-09
0.100000,1.82727574e-06,-2.34118863e-07,3.25643545e-06,1.86266640e-09,-2.38653275e-10,3.31950607e-09
0.105000,1.82641867e-06,-2.33637111e-07,3.25509831e-06,1.86179273e-09,-2.38162192e-10,3.31814303e-09
0.110000,1.82551534e-06,-2.33103975e-07,3.25369499e-06,1.86087190e-09,-2.37618731e-10,3.31671253e-09
0.115000,1.82456558e-06,-2.32517207e-07,3.25222542e-06,1.85990375e-09,-2.37020599e-10,3.31521450e-09
0.120000,1.82356925e-06,-2.31874572e-07,3.25068949e-06,1.85888813e-09,-2.36365517e-10,3.31364882e-09
0.125000,1.82252604e-06,-2.31173809e-07,3.24908711e-06,1.85782471e-09,-2.35651181e-10,3.31201540e-09
0.130000,1.82143536e-06,-2.30412592e-07,3.24741824e-06,1.85671290e-09,-2.34875221e-10,3.31031421e-09
0.135000,1.82029625e-06,-2.29588503e-07,3.24568289e-06,1.85555173e-09,-2.34035171e-10,3.30854525e-09
0.140000,1.81910743e-06,-2.28699031e-07,3.24388117e-06,1.85433988e-09,-2.33128472e-10,3.30670863e-09
0.145000,1.81786750e-06,-2.27741619e-07,3.24201313e-06,1.85307595e-09,-2.32152517e-10,3.30480442e-09
0.150000,1.81657529e-06,-2.26713751e-07,3.24007876e-06,1.85175871e-09,-2.31104741e-10,3.30283258e-09
0.155000,1.81523020e-06,-2.25613040e-07,3.23807780e-06,1.85038757e-09,-2.29982711e-10,3.30079287e-09
0.160000,1.81383243e-06,-2.24437274e-07,3.23600971e-06,1.84896272e-09,-2.28784174e-10,3.29868472e-09
0.165000,1.81238284e-06,-2.23184380e-07,3.23387370e-06,1.84748506e-09,-2.27507013e-10,3.29650734e-09
0.170000,1.81088258e-06,-2.21852352e-07,3.23166897e-06,1.84595573e-09,-2.26149187e-10,3.29425991e-09
0.175000,1.80933237e-06,-2.20439218e-07,3.22939519e-06,1.84437550e-09,-2.24708683e-10,3.29194209e-09
0.180000,1.80773233e-06,-2.18943089e-07,3.22705298e-06,1.84274447e-09,-2.23183577e-10,3.28955452e-09
0.185000,1.80608230e-06,-2.17362223e-07,3.22464417e-06,1.84106249e-09,-2.21572093e-10,3.28709905e-09
0.190000,1.80438281e-06,-2.15694916e-07,3.22217149e-06,1.83933008e-09,-2.19872494e-10,3.28457848e-09
0.195000,1.80263587e-06,-2.13939074e-07,3.21963766e-06,1.83754931e-09,-2.18082644e-10,3.28199558e-09
0.200000,1.80084467e-06,-2.12091601e-07,3.21704396e-06,1.83572342e-09,-2.16199390e-10,3.27935164e-09
0.205000,1.79901203e-06,-2.10148069e-07,3.21438902e-06,1.83385528e-09,-2.14218215e-10,3.27664528e-09
0.210000,1.79713825e-06,-2.08103127e-07,3.21166854e-06,1.83194521e-09,-2.12133667e-10,3.27387211e-09
0.215000,1.79521973e-06,-2.05951814e-07,3.20887626e-06,1.82998954e-09,-2.09940687e-10,3.27102575e-09
0.220000,1.79324924e-06,-2.03691306e-07,3.20600595e-06,1.82798088e-09,-2.07636397e-10,3.26809985e-09
0.225000,1.79121775e-06,-2.01322222e-07,3.20305327e-06,1.82591004e-09,-2.05221429e-10,3.26508998e-09
0.230000,1.78911693e-06,-1.98848681e-07,3.20001683e-06,1.82376853e-09,-2.02699980e-10,3.26199473e-09
0.235000,1.78694104e-06,-1.96276925e-07,3.19689805e-06,1.82155050e-09,-2.00078415e-10,3.25881554e-09
0.240000,1.78468769e-06,-1.93613045e-07,3.19370038e-06,1.81925351e-09,-1.97362940e-10,3.25555594e-09
0.245000,1.78235771e-06,-1.90860702e-07,3.19042879e-06,1.81687840e-09,-1.94557291e-10,3.25222099e-09
0.250000,1.77995528e-06,-1.88019673e-07,3.18708969e-06,1.81442944e-09,-1.91661236e-10,3.24881722e-09
0.255000,1.77748850e-06,-1.85085709e-07,3.18369073e-06,1.81191488e-09,-1.88670447e-10,3.24535243e-09
0.260000,1.77496991e-06,-1.82051932e-07,3.18023976e-06,1.80934751e-09,-1.85577912e-10,3.24183462e-09
0.265000,1.77241570e-06,-1.78911134e-07,3.17674314e-06,1.80674383e-09,-1.82376283e-10,3.23827028e-09
0.270000,1.76984327e-06,-1.75657548e-07,3.17320441e-06,1.80412158e-09,-1.79059682e-10,3.23466301e-09
0.275000,1.76726794e-06,-1.72287020e-07,3.16962395e-06,1.80149637e-09,-1.75623873e-10,3.23101320e-09
0.280000,1.76469985e-06,-1.68795977e-07,3.16599933e-06,1.79887854e-09,-1.72065216e-10,3.22731838e-09
0.285000,1.76214151e-06,-1.65180449e-07,3.16232555e-06,1.79627065e-09,-1.68379663e-10,3.22357345e-09
0.290000,1.75958532e-06,-1.61436000e-07,3.15859441e-06,1.79366495e-09,-1.64562691e-10,3.21977004e-09
0.295000,1.75701144e-06,-1.57558341e-07,3.15479326e-06,1.79104122e-09,-1.60609929e-10,3.21589527e-09
0.300000,1.75438735e-06,-1.53543876e-07,3.15090426e-06,1.78836631e-09,-1.56517712e-10,3.21193095e-09
0.305000,1.75167105e-06,-1.49389847e-07,3.14690581e-06,1.78559741e-09,-1.52283229e-10,3.20785506e-09
0.310000,1.74881879e-06,-1.45094665e-07,3.14277668e-06,1.78268989e-09,-1.47904857e-10,3.20364595e-09
0.315000,1.74579604e-06,-1.40659314e-07,3.13850162e-06,1.77960860e-09,-1.43383602e-10,3.19928810e-09
0.320000,1.74258859e-06,-1.36089844e-07,3.13407660e-06,1.77633903e-09,-1.38725631e-10,3.19477737e-09
0.325000,1.73920853e-06,-1.31399430e-07,3.12951237e-06,1.77289351e-09,-1.33944373e-10,3.19012474e-09
0.330000,1.73569110e-06,-1.26607725e-07,3.12483673e-06,1.76930795e-09,-1.29059862e-10,3.18535854e-09
0.335000,1.73208269e-06,-1.21735819e-07,3.12009544e-06,1.76562965e-09,-1.24093598e-10,3.18052543e-09
0.340000,1.72842649e-06,-1.16796738e-07,3.11535007e-06,1.76190264e-09,-1.19058857e-10,3.17568814e-09
