time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
0.000000,-1.24112636e-05,8.68904698e-07,-7.81563117e-06,-1.26516449e-08,8.85733637e-10,-7.96700425e-09
0.005000,-1.24112928e-05,8.68901351e-07,-7.81560136e-06,-1.26516746e-08,8.85730225e-10,-7.96697386e-09
0.010000,-1.24113814e-05,8.68891317e-07,-7.81551108e-06,-1.26517650e-08,8.85719997e-10,-7.96688184e-09
0.015000,-1.24115310e-05,8.68874609e-07,-7.81535915e-06,-1.26519174e-08,8.85702965e-10,-7.96672696e-09
0.020000,-1.24117431e-05,8.68851237e-07,-7.81514435e-06,-1.26521336e-08,8.85679140e-10,-7.96650800e-09
0.025000,-1.24120191e-05,8.68821210e-07,-7.81486552e-06,-1.26524149e-08,8.85648532e-10,-7.96622377e-09
0.030000,-1.24123605e-05,8.68784537e-07,-7.81452151e-06,-1.26527629e-08,8.85611149e-10,-7.96587309e-09
0.035000,-1.24127687e-05,8.68741225e-07,-7.81411116e-06,-1.26531791e-08,8.85566998e-10,-7.96545480e-09
0.040000,-1.24132452e-05,8.68691283e-07,-7.81363335e-06,-1.26536648e-08,8.85516089e-10,-7.96496773e-09
0.045000,-1.24137914e-05,8.68634731e-07,-7.81308697e-06,-1.26542216e-08,8.85458441e-10,-7.96441078e-09
0.050000,-1.24144086e-05,8.68571588e-07,-7.81247096e-06,-1.26548508e-08,8.85394076e-10,-7.96378283e-09
0.055000,-1.24150984e-05,8.68501872e-07,-7.81178425e-06,-1.26555539e-08,8.85323009e-10,-7.96308283e-09
0.060000,-1.24158619e-05,8.68425578e-07,-7.81102583e-06,-1.26563323e-08,8.85245238e-10,-7.96230972e-09
0.065000,-1.24167007e-05,8.68342680e-07,-7.81019468e-06,-1.26571873e-08,8.85160734e-10,-7.96146247e-09
0.070000,-1.24176161e-05,8.68253146e-07,-7.80928974e-06,-1.26581203e-08,8.85069466e-10,-7.96054001e-09
0.075000,-1.24186091e-05,8.68156977e-07,-7.80830996e-06,-1.26591326e-08,8.84971434e-10,-7.95954125e-09
0.080000,-1.24196811e-05,8.68054254e-07,-7.80725426e-06,-1.26602253e-08,8.84866722e-10,-7.95846510e-09
0.085000,-1.24208329e-05,8.67945136e-07,-7.80612161e-06,-1.26613995e-08,8.84755490e-10,-7.95731051e-09
0.090000,-1.24220658e-05,8.67829804e-07,-7.80491104e-06,-1.26626563e-08,8.84637925e-10,-7.95607649e-09
0.095000,-1.24233811e-05,8.67708365e-07,-7.80362170e-06,-1.26639970e-08,8.84514134e-10,-7.95476218e-09
0.100000,-1.24247800e-05,8.67580761e-07,-7.80225280e-06,-1.26654231e-08,8.84384058e-10,-7.95336676e-09
0.105000,-1.24262643e-05,8.67446740e-07,-7.80080353e-06,-1.26669361e-08,8.84247441e-10,-7.95188943e-09
0.110000,-1.24278352e-05,8.67305900e-07,-7.79927307e-06,-1.26685374e-08,8.84103874e-10,-7.95032932e-09
0.115000,-1.24294940e-05,8.67157795e-07,-7.79766046e-06,-1.26702284e-08,8.83952900e-10,-7.94868549e-09
0.120000,-1.24312415e-05,8.67002122e-07,-7.79596473e-06,-1.26720097e-08,8.83794212e-10,-7.94695691e-09
0.125000,-1.24330779e-05,8.66838994e-07,-7.79418495e-06,-1.26738817e-08,8.83627925e-10,-7.94514266e-09
0.130000,-1.24350037e-05,8.66669199e-07,-7.79232044e-06,-1.26758447e-08,8.83454841e-10,-7.94324204e-09
0.135000,-1.24370191e-05,8.66494234e-07,-7.79037089e-06,-1.26778992e-08,8.83276487e-10,-7.94125473e-09
0.140000,-1.24391254e-05,8.66315944e-07,-7.78833620e-06,-1.26800463e-08,8.83094744e-10,-7.93918063e-09
0.145000,-1.24413252e-05,8.66135789e-07,-7.78621603e-06,-1.26822887e-08,8.82911099e-10,-7.93701939e-09
0.150000,-1.24436225e-05,8.65953910e-07,-7.78400922e-06,-1.26846305e-08,8.82725699e-10,-7.93476984e-09
0.155000,-1.24460220e-05,8.65768358e-07,-7.78171351e-06,-1.26870765e-08,8.82536552e-10,-7.93242968e-09
0.160000,-1.24485273e-05,8.65574965e-07,-7.77932589e-06,-1.26896303e-08,8.82339414e-10,-7.92999581e-09
0.165000,-1.24511380e-05,8.65368411e-07,-7.77684363e-06,-1.26922916e-08,8.82128859e-10,-7.92746548e-09
0.170000,-1.24538489e-05,8.65144483e-07,-7.77426560e-06,-1.26950549e-08,8.81900594e-10,-7.92483752e-09
0.175000,-1.24566515e-05,8.64902578e-07,-7.77159261e-06,-1.26979118e-08,8.81654004e-10,-7.92211275e-09
0.180000,-1.24595388e-05,8.64646873e-07,-7.76882616e-06,-1.27008550e-08,8.81393346e-10,-7.91929272e-09
0.185000,-1.24625101e-05,8.64385197e-07,-7.76596644e-06,-1.27038839e-08,8.81126602e-10,-7.91637762e-09
0.190000,-1.24655732e-05,8.64125996e-07,-7.76301136e-06,-1.27070063e-08,8.80862381e-10,-7.91336530e-09
0.195000,-1.24687416e-05,8.63874595e-07,-7.75995776e-06,-1.27102361e-08,8.80606111e-10,-7.91025256e-09
0.200000,-1.24720277e-05,8.63630068e-07,-7.75680474e-06,-1.27135859e-08,8.80356848e-10,-7.90703847e-09
0.205000,-1.24754357e-05,8.63384332e-07,-7.75355676e-06,-1.27170598e-08,8.80106353e-10,-7.90372759e-09
0.210000,-1.24789587e-05,8.63125384e-07,-7.75022418e-06,-1.27206511e-08,8.79842390e-10,-7.90033046e-09
0.215000,-1.24825834e-05,8.62844861e-07,-7.74682023e-06,-1.27243459e-08,8.79556433e-10,-7.89686058e-09
0.220000,-1.24863002e-05,8.62546103e-07,-7.74335495e-06,-1.27281348e-08,8.79251889e-10,-7.89332818e-09
0.225000,-1.24901127e-05,8.62246382e-07,-7.73982810e-06,-1.27320211e-08,8.78946363e-10,-7.88973303e-09
0.230000,-1.24940380e-05,8.61969724e-07,-7.73622446e-06,-1.27360224e-08,8.78664347e-10,-7.88605959e-09
0.235000,-1.24980975e-05,8.61733223e-07,-7.73251545e-06,-1.27401605e-08,8.78423265e-10,-7.88227875e-09
0.240000,-1.25023015e-05,8.61534396e-07,-7.72866868e-06,-1.27444460e-08,8.78220588e-10,-7.87835747e-09
0.245000,-1.25066388e-05,8.61346471e-07,-7.72466141e-06,-1.27488673e-08,8.78029022e-10,-7.87427259e-09
0.250000,-1.25110799e-05,8.61123885e-07,-7.72049058e-06,-1.27533944e-08,8.77802126e-10,-7.87002098e-09
0.255000,-1.25155927e-05,8.60815845e-07,-7.71617359e-06,-1.27579946e-08,8.77488120e-10,-7.86562038e-09
0.260000,-1.25201598e-05,8.60384048e-07,-7.71174009e-06,-1.27626502e-08,8.77047959e-10,-7.86110101e-09
0.265000,-1.25247856e-05,8.59821040e-07,-7.70722030e-06,-1.27673656e-08,8.76474047e-10,-7.85649368e-09
0.270000,-1.25294900e-05,8.59164730e-07,-7.70263609e-06,-1.27721610e-08,8.75805025e-10,-7.85182068e-09
0.275000,-1.25342947e-05,8.58500889e-07,-7.69799756e-06,-1.27770589e-08,8.75128327e-10,-7.84709232e-09
0.280000,-1.25392176e-05,8.57943598e-07,-7.69330264e-06,-1.27820770e-08,8.74560243e-10,-7.84230647e-09
0.285000,-1.25442761e-05,8.57591168e-07,-7.68853681e-06,-1.27872335e-08,8.74200987e-10,-7.83744833e-09
0.290000,-1.25494932e-05,8.57472252e-07,-7.68367556e-06,-1.27925517e-08,8.74079768e-10,-7.83249293e-09
0.295000,-1.25548910e-05,8.57511911e-07,-7.67869313e-06,-1.27980540e-08,8.74120195e-10,-7.82741399e-09
0.300000,-1.25604742e-05,8.57545795e-07,-7.67357510e-06,-1.28037454e-08,8.74154735e-10,-7.82219684e-09
0.305000,-1.25662196e-05,8.57387808e-07,-7.66832645e-06,-1.28096020e-08,8.73993688e-10,-7.81684653e-09
0.310000,-1.25720863e-05,8.56923044e-07,-7.66296718e-06,-1.28155824e-08,8.73519923e-10,-7.81138347e-09
0.315000,-1.25780418e-05,8.56174946e-07,-7.65751622e-06,-1.28216532e-08,8.72757336e-10,-7.80582693e-09
0.320000,-1.25840796e-05,8.55302892e-07,-7.65197511e-06,-1.28278080e-08,8.71868392e-10,-7.80017850e-09
0.325000,-1.25902122e-05,8.54524420e-07,-7.64632599e-06,-1.28340594e-08,8.71074842e-10,-7.79441997e-09
0.330000,-1.25964455e-05,8.54003053e-07,-7.64054685e-06,-1.28404134e-08,8.70543377e-10,-7.78852890e-09
0.335000,-1.26027613e-05,8.53767464e-07,-7.63463301e-06,-1.28468515e-08,8.70303226e-10,-7.78250052e-09
0.340000,-1.26091322e-05,8.53710945e-07,-7.62860806e-06,-1.28533458e-08,8.70245612e-10,-7.77635887e-09
0.345000,-1.26155626e-05,8.53668297e-07,-7.62251217e-06,-1.28599007e-08,8.70202138e-10,-7.77014492e-09
0.350000,-1.26221175e-05,8.53514534e-07,-7.61637203e-06,-1.28665825e-08,8.70045396e-10,-7.76388586e-09
0.355000,-1.26288974e-05,8.53217537e-07,-7.61017428e-06,-1.28734938e-08,8.69742648e-10,-7.75756807e-09
0.360000,-1.26359633e-05,8.52817902e-07,-7.60386746e-06,-1.28806965e-08,8.69335272e-10,-7.75113911e-09
0.365000,-1.26432681e-05,8.52369115e-07,-7.59739823e-06,-1.28881428e-08,8.68877793e-10,-7.74454458e-09
0.370000,-1.26506609e-05,8.51896293e-07,-7.59075691e-06,-1.28956788e-08,8.68395814e-10,-7.73777463e-09
0.375000,-1.26579697e-05,8.51402288e-07,-7.58399190e-06,-1.29031291e-08,8.67892240e-10,-7.73087859e-09
0.380000,-1.26651055e-05,8.50899939e-07,-7.57717167e-06,-1.29104032e-08,8.67380162e-10,-7.72392627e-09
0.385000,-1.26721205e-05,8.50427798e-07,-7.57031887e-06,-1.29175540e-08,8.66898877e-10,-7.71694074e-09
0.390000,-1.26791855e-05,8.50028884e-07,-7.56336951e-06,-1.29247559e-08,8.66492237e-10,-7.70985678e-09
0.395000,-1.26865092e-05,8.49710729e-07,-7.55619529e-06,-1.29322214e-08,8.66167919e-10,-7.70254362e-09
0.400000,-1.26942433e-05,8.49423665e-07,-7.54868326e-06,-1.29401053e-08,8.65875295e-10,-7.69488610e-09
0.405000,-1.27024236e-05,8.49082052e-07,-7.54082922e-06,-1.29484440e-08,8.65527067e-10,-7.68687994e-09
0.410000,-1.27109645e-05,8.48621638e-07,-7.53278790e-06,-1.29571503e-08,8.65057735e-10,-7.67868287e-09
0.415000,-1.27197092e-05,8.48051032e-07,-7.52484076e-06,-1.29660644e-08,8.64476078e-10,-7.67058181e-09
0.420000,-1.27285259e-05,8.47443629e-07,-7.51728121e-06,-1.29750518e-08,8.63856910e-10,-7.66287585e-09
0.425000,-1.27374040e-05,8.46859130e-07,-7.51026104e-06,-1.29841020e-08,8.63261091e-10,-7.65571972e-09
0.430000,-1.27464729e-05,8.46259226e-07,-7.50367449e-06,-1.29933465e-08,8.62649567e-10,-7.64900560e-09
0.435000,-1.27559101e-05,8.45507795e-07,-7.49715843e-06,-1.30029665e-08,8.61883583e-10,-7.64236333e-09
0.440000,-1.27657820e-05,8.44477617e-07,-7.49023109e-06,-1.30130296e-08,8.60833452e-10,-7.63530183e-09
0.445000,-1.27758932e-05,8.43183659e-07,-7.48249751e-06,-1.30233366e-08,8.59514433e-10,-7.62741846e-09
0.450000,-1.27857554e-05,8.41827958e-07,-7.47379993e-06,-1.30333898e-08,8.58132476e-10,-7.61855243e-09
0.455000,-1.27947757e-05,8.40707750e-07,-7.46424038e-06,-1.30425848e-08,8.56990571e-10,-7.60880773e-09
0.460000,-1.28026311e-05,8.40051253e-07,-7.45410229e-06,-1.30505924e-08,8.56321359e-10,-7.59847328e-09
0.465000,-1.28096101e-05,8.39908388e-07,-7.44375131e-06,-1.30577065e-08,8.56175727e-10,-7.58792182e-09
0.470000,-1.28166540e-05,8.40176706e-07,-7.43356900e-06,-1.30648868e-08,8.56449242e-10,-7.57754230e-09
0.475000,-1.28249863e-05,8.40717697e-07,-7.42390630e-06,-1.30733805e-08,8.57000710e-10,-7.56769246e-09
0.480000,-1.28354744e-05,8.41425118e-07,-7.41500713e-06,-1.30840717e-08,8.57721833e-10,-7.55862093e-09
0.485000,-1.28481185e-05,8.42143443e-07,-7.40689810e-06,-1.30969607e-08,8.58454071e-10,-7.55035485e-09
0.490000,-1.28620443e-05,8.42492434e-07,-7.39932350e-06,-1.31111563e-08,8.58809821e-10,-7.54263354e-09
0.495000,-1.28759996e-05,8.41802888e-07,-7.39180966e-06,-1.31253818e-08,8.58106920e-10,-7.53497416e-09
0.500000,-1.28889673e-05,8.39355905e-07,-7.38385519e-06,-1.31386007e-08,8.55612543e-10,-7.52686564e-09
0.505000,-1.29004943e-05,8.34910209e-07,-7.37515442e-06,-1.31503510e-08,8.51080743e-10,-7.51799635e-09
0.510000,-1.29106254e-05,8.29231973e-07,-7.36572429e-06,-1.31606783e-08,8.45292531e-10,-7.50838358e-09
0.515000,-1.29196342e-05,8.24211691e-07,-7.35584253e-06,-1.31698616e-08,8.40175016e-10,-7.49831043e-09
0.520000,-1.29278474e-05,8.22296832e-07,-7.34582308e-06,-1.31782339e-08,8.38223070e-10,-7.48809692e-09
0.525000,-1.29357079e-05,8.25357653e-07,-7.33578089e-06,-1.31862466e-08,8.41343173e-10,-7.47786024e-09
0.530000,-1.29439377e-05,8.33522560e-07,-7.32555899e-06,-1.31946358e-08,8.49666218e-10,-7.46744036e-09
0.535000,-1.29535031e-05,8.44674892e-07,-7.31487845e-06,-1.32043864e-08,8.61034548e-10,-7.45655296e-09
0.540000,-1.29652195e-05,8.55029318e-07,-7.30361522e-06,-1.32163297e-08,8.71589519e-10,-7.44507158e-09
0.545000,-1.29791854e-05,8.60615997e-07,-7.29202162e-06,-1.32305661e-08,8.77284401e-10,-7.43325344e-09
0.550000,-1.29944815e-05,8.58942307e-07,-7.28072980e-06,-1.32461585e-08,8.75578294e-10,-7.42174291e-09
0.555000,-1.30094409e-05,8.49957893e-07,-7.27048528e-06,-1.32614077e-08,8.66419871e-10,-7.41129998e-09
0.560000,-1.30223549e-05,8.35866858e-07,-7.26173382e-06,-1.32745718e-08,8.52055920e-10,-7.40237902e-09
0.565000,-1.30321768e-05,8.20045205e-07,-7.25430815e-06,-1.32845839e-08,8.35927834e-10,-7.39480953e-09
0.570000,-1.30388927e-05,8.05805050e-07,-7.24741401e-06,-1.32914299e-08,8.21411876e-10,-7.38778187e-09
0.575000,-1.30435569e-05,7.95654940e-07,-7.23993541e-06,-1.32961844e-08,8.11065178e-10,-7.38015842e-09
0.580000,-1.30481358e-05,7.91170931e-07,-7.23088298e-06,-1.33008520e-08,8.06494323e-10,-7.37093066e-09
0.585000,-1.30551703e-05,7.93092305e-07,-7.21970551e-06,-1.33080228e-08,8.08452910e-10,-7.35953670e-09
0.590000,-1.30671258e-05,8.01208390e-07,-7.20630195e-06,-1.33202098e-08,8.16726188e-10,-7.34587354e-09
0.595000,-1.30854268e-05,8.14025981e-07,-7.19084637e-06,-1.33388652e-08,8.29792029e-10,-7.33011862e-09
0.600000,-1.31095171e-05,8.28672847e-07,-7.17366256e-06,-1.33634221e-08,8.44722576e-10,-7.31260199e-09
0.605000,-1.31365364e-05,8.41490442e-07,-7.15525676e-06,-1.33909647e-08,8.57788422e-10,-7.29383971e-09
0.610000,-1.31620672e-05,8.49231337e-07,-7.13645463e-06,-1.34169900e-08,8.65679242e-10,-7.27467343e-09
