time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
0.00000000e+00,2.71213126e-06,-1.09918252e-06,-1.77271606e-06,2.76465980e-09,-1.12047148e-09,-1.80705001e-09
5.00000000e-03,2.71213632e-06,-1.09918465e-06,-1.77270055e-06,2.76466496e-09,-1.12047364e-09,-1.80703420e-09
1.00000000e-02,2.71215163e-06,-1.09919100e-06,-1.77265363e-06,2.76468056e-09,-1.12048013e-09,-1.80698637e-09
1.50000000e-02,2.71217736e-06,-1.09920157e-06,-1.77257469e-06,2.76470679e-09,-1.12049090e-09,-1.80690590e-09
2.00000000e-02,2.71221368e-06,-1.09921632e-06,-1.77246316e-06,2.76474381e-09,-1.12050593e-09,-1.80679221e-09
2.50000000e-02,2.71226077e-06,-1.09923522e-06,-1.77231846e-06,2.76479181e-09,-1.12052519e-09,-1.80664471e-09
3.00000000e-02,2.71231878e-06,-1.09925824e-06,-1.77214003e-06,2.76485095e-09,-1.12054867e-09,-1.80646282e-09
3.50000000e-02,2.71238789e-06,-1.09928537e-06,-1.77192731e-06,2.76492140e-09,-1.12057632e-09,-1.80624599e-09
4.00000000e-02,2.71246826e-06,-1.09931660e-06,-1.77167977e-06,2.76500332e-09,-1.12060815e-09,-1.80599365e-09
4.50000000e-02,2.71256004e-06,-1.09935189e-06,-1.77139684e-06,2.76509688e-09,-1.12064413e-09,-1.80570524e-09
5.00000000e-02,2.71266338e-06,-1.09939122e-06,-1.77107801e-06,2.76520223e-09,-1.12068422e-09,-1.80538023e-09
5.50000000e-02,2.71277846e-06,-1.09943454e-06,-1.77072274e-06,2.76531953e-09,-1.12072838e-09,-1.80501808e-09
6.00000000e-02,2.71290541e-06,-1.09948176e-06,-1.77033051e-06,2.76544894e-09,-1.12077652e-09,-1.80461825e-09
6.50000000e-02,2.71304440e-06,-1.09953278e-06,-1.76990080e-06,2.76559062e-09,-1.12082852e-09,-1.80418023e-09
7.00000000e-02,2.71319556e-06,-1.09958752e-06,-1.76943312e-06,2.76574471e-09,-1.12088432e-09,-1.80370349e-09
7.50000000e-02,2.71335904e-06,-1.09964597e-06,-1.76892698e-06,2.76591136e-09,-1.12094391e-09,-1.80318754e-09
8.00000000e-02,2.71353497e-06,-1.09970822e-06,-1.76838187e-06,2.76609069e-09,-1.12100736e-09,-1.80263188e-09
8.50000000e-02,2.71372348e-06,-1.09977443e-06,-1.76779733e-06,2.76628285e-09,-1.12107485e-09,-1.80203602e-09
9.00000000e-02,2.71392473e-06,-1.09984475e-06,-1.76717289e-06,2.76648800e-09,-1.12114653e-09,-1.80139948e-09
9.50000000e-02,2.71413888e-06,-1.09991924e-06,-1.76650812e-06,2.76670630e-09,-1.12122246e-09,-1.80072184e-09
1.00000000e-01,2.71436607e-06,-1.09999778e-06,-1.76580264e-06,2.76693789e-09,-1.12130253e-09,-1.80000269e-09
1.05000000e-01,2.71460641e-06,-1.10008014e-06,-1.76505609e-06,2.76718288e-09,-1.12138648e-09,-1.79924168e-09
1.10000000e-01,2.71485993e-06,-1.10016605e-06,-1.76426813e-06,2.76744132e-09,-1.12147406e-09,-1.79843846e-09
1.15000000e-01,2.71512666e-06,-1.10025535e-06,-1.76343835e-06,2.76771321e-09,-1.12156509e-09,-1.79759261e-09
1.20000000e-01,2.71540667e-06,-1.10034804e-06,-1.76256624e-06,2.76799864e-09,-1.12165957e-09,-1.79670361e-09
1.25000000e-01,2.71570012e-06,-1.10044423e-06,-1.76165121e-06,2.76829778e-09,-1.12175762e-09,-1.79577085e-09
1.30000000e-01,2.71600729e-06,-1.10054395e-06,-1.76069266e-06,2.76861090e-09,-1.12185928e-09,-1.79479374e-09
1.35000000e-01,2.71632841e-06,-1.10064683e-06,-1.75969014e-06,2.76893823e-09,-1.12196415e-09,-1.79377181e-09
1.40000000e-01,2.71666359e-06,-1.10075189e-06,-1.75864343e-06,2.76927991e-09,-1.12207125e-09,-1.79270482e-09
1.45000000e-01,2.71701284e-06,-1.10085776e-06,-1.75755254e-06,2.76963592e-09,-1.12217916e-09,-1.79159280e-09
1.50000000e-01,2.71737612e-06,-1.10096330e-06,-1.75641759e-06,2.77000624e-09,-1.12228675e-09,-1.79043587e-09
1.55000000e-01,2.71775348e-06,-1.10106859e-06,-1.75523843e-06,2.77039091e-09,-1.12239408e-09,-1.78923387e-09
1.60000000e-01,2.71814497e-06,-1.10117551e-06,-1.75401435e-06,2.77078998e-09,-1.12250307e-09,-1.78798609e-09
1.65000000e-01,2.71855055e-06,-1.10128749e-06,-1.75274397e-06,2.77120342e-09,-1.12261722e-09,-1.78669110e-09
1.70000000e-01,2.71897009e-06,-1.10140830e-06,-1.75142550e-06,2.77163108e-09,-1.12274036e-09,-1.78534709e-09
1.75000000e-01,2.71940364e-06,-1.10154053e-06,-1.75005727e-06,2.77207302e-09,-1.12287516e-09,-1.78395236e-09
1.80000000e-01,2.71985185e-06,-1.10168461e-06,-1.74863834e-06,2.77252991e-09,-1.12302203e-09,-1.78250595e-09
